game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
85119,22,9,13,20,16,23,6,0,57,52,1
85120,19,11,12,18,24,15,3,3,58,47,1
85121,9,16,13,15,18,23,6,0,46,54,2
85122,23,12,10,20,9,11,3,3,45,46,2
85123,14,14,16,11,22,14,0,6,52,45,1
85124,16,18,17,20,9,13,6,0,48,51,2
85125,14,23,14,20,12,24,6,0,46,67,2
85126,14,13,17,19,22,19,0,6,53,57,2
85127,11,26,29,22,15,19,0,6,55,73,2
85128,12,10,18,17,21,15,0,6,51,48,1
85129,20,13,21,20,19,15,3,3,63,51,1
85130,13,16,12,12,16,14,0,6,41,48,2
85131,7,17,6,18,18,18,6,0,37,53,2
85132,14,10,20,11,13,17,6,0,53,38,1
85133,15,19,11,18,15,22,3,3,44,62,2
85134,18,9,17,21,19,10,6,0,60,40,1
85135,9,18,12,11,19,19,0,6,40,54,2
85136,20,10,18,16,17,15,0,6,55,47,1
85137,11,14,20,19,15,14,0,6,46,53,2
85138,11,16,12,18,17,22,3,3,43,59,2
85139,15,9,15,9,19,21,3,3,52,42,1
85140,9,11,12,19,14,17,6,0,41,47,2
85141,15,18,14,26,7,19,3,3,39,66,2
85142,9,10,13,17,21,25,0,6,43,58,2
85143,23,18,19,18,19,9,3,3,64,48,1
85144,9,11,12,17,18,23,0,6,39,57,2
85145,22,18,21,12,13,25,6,0,62,55,1
85146,10,10,11,16,21,14,0,6,42,46,2
85147,12,14,11,23,11,29,6,0,40,66,2
85148,15,21,23,18,15,15,6,0,59,54,1
85149,15,6,18,23,15,13,0,6,48,48,0
85150,16,17,13,20,12,11,3,3,44,51,2
85151,21,15,21,20,20,11,0,6,62,52,1
85152,11,19,9,20,19,23,0,6,39,68,2
85153,12,16,8,9,19,22,3,3,42,50,2
85154,19,13,10,13,13,18,3,3,45,47,2
85155,17,7,11,28,11,22,0,6,39,63,2
85156,20,16,10,14,12,20,3,3,45,53,2
85157,9,20,17,11,16,24,6,0,48,55,2
85158,10,27,18,16,8,18,6,0,42,61,2
85159,9,18,6,7,14,25,6,0,35,50,2
85160,10,24,12,22,14,23,6,0,42,69,2
85161,7,15,14,27,15,26,3,3,39,71,2
85162,23,9,18,27,18,9,6,0,65,45,1
85163,13,14,19,11,13,6,3,3,48,34,1
