game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
85923,19,13,20,21,12,18,6,0,57,52,1
85924,14,18,21,26,18,14,0,6,53,64,2
85925,21,15,21,18,24,26,6,0,72,59,1
85926,16,12,14,29,19,16,6,0,55,57,2
85927,20,22,31,12,13,17,6,0,70,51,1
85928,11,12,18,15,24,12,3,3,56,42,1
85929,18,23,19,19,14,18,0,6,51,66,2
85930,27,16,18,19,13,12,0,6,58,53,1
85931,16,15,9,9,22,20,6,0,53,44,1
85932,23,23,12,16,16,15,0,6,51,60,2
85933,18,21,12,28,12,15,3,3,45,67,2
85934,22,10,14,16,25,8,0,6,61,40,1
85935,13,20,22,19,18,15,0,6,53,60,2
85936,12,16,26,15,11,12,0,6,49,49,0
85937,19,15,9,6,17,20,6,0,51,41,1
85938,16,24,21,15,20,20,6,0,63,59,1
85939,20,12,27,21,17,15,6,0,70,48,1
85940,29,22,12,20,21,9,6,0,68,51,1
85941,16,15,22,9,23,21,6,0,67,45,1
85942,13,20,18,23,17,14,3,3,51,60,2
85943,23,16,15,19,18,14,6,0,62,49,1
85944,20,18,17,15,7,22,3,3,47,58,2
85945,15,13,27,12,16,15,0,6,58,46,1
85946,15,22,16,14,23,18,3,3,57,57,0
85947,17,17,18,29,9,18,3,3,47,67,2
85948,9,18,12,30,16,13,6,0,43,61,2
85949,16,22,10,18,20,18,3,3,49,61,2
85950,21,7,18,19,17,12,0,6,56,44,1
85951,25,14,17,15,10,23,6,0,58,52,1
85952,20,20,15,22,14,18,3,3,52,63,2
85953,16,17,15,9,13,15,3,3,47,44,1
85954,10,22,9,13,20,20,3,3,42,58,2
85955,11,13,8,29,18,20,0,6,37,68,2
85956,16,13,16,33,11,18,0,6,43,70,2
85957,12,13,20,23,22,15,6,0,60,51,1
85958,20,21,19,14,17,23,6,0,62,58,1
85959,12,26,18,16,15,10,6,0,51,52,2
85960,12,21,12,15,16,22,0,6,40,64,2
85961,24,17,14,12,11,25,3,3,52,57,2
85962,15,22,15,10,13,16,0,6,43,54,2
85963,21,17,22,7,9,16,6,0,58,40,1
85964,17,19,18,19,15,10,0,6,50,54,2
85965,20,23,17,21,19,11,3,3,59,58,1
85966,9,15,27,23,14,23,6,0,56,61,2
85967,20,19,24,13,11,6,0,6,55,44,1
85968,21,16,15,22,20,19,0,6,56,63,2
85969,20,14,12,18,15,22,3,3,50,57,2
85970,17,14,19,16,18,17,6,0,60,47,1
85971,12,12,13,17,14,21,3,3,42,53,2
85972,20,14,12,14,27,11,3,3,62,42,1
85973,13,19,23,14,20,22,6,0,62,55,1
85974,17,18,14,20,18,15,6,0,55,53,1
85975,14,21,15,22,9,12,0,6,38,61,2
85976,20,12,22,14,16,9,3,3,61,38,1
85977,24,13,17,11,13,23,0,6,54,53,1
85978,24,18,10,20,16,17,0,6,50,61,2
85979,7,22,22,10,18,9,0,6,47,47,0
85980,21,12,20,14,14,23,0,6,55,55,0
85981,23,14,12,24,14,23,6,0,55,61,2
85982,11,18,19,9,15,9,6,0,51,36,1
85983,19,20,15,15,24,12,0,6,58,53,1
85984,11,17,15,17,28,12,3,3,57,49,1
85985,8,19,15,16,16,21,0,6,39,62,2
85986,18,18,20,22,19,14,6,0,63,54,1
85987,16,20,23,21,19,14,3,3,61,58,1
85988,20,12,16,21,18,17,6,0,60,50,1
85989,23,17,15,14,17,14,0,6,55,51,1
85990,19,10,20,20,17,17,0,6,56,53,1
85991,11,13,29,16,17,18,3,3,60,50,1
85992,20,14,15,15,12,22,6,0,53,51,1
85993,23,9,22,16,19,14,3,3,67,42,1
85994,19,9,25,22,16,12,3,3,63,46,1
85995,16,13,17,23,17,17,0,6,50,59,2
85996,11,25,21,17,11,14,6,0,49,56,2
85997,27,9,21,14,15,10,0,6,63,39,1
85998,15,27,20,17,21,31,3,3,59,78,2
85999,10,11,20,11,20,22,6,0,56,44,1
86000,17,12,17,20,16,8,0,6,50,46,1
86001,28,12,24,16,23,13,0,6,75,47,1
86002,14,10,15,13,19,17,0,6,48,46,1
86003,18,22,9,17,12,17,3,3,42,59,2
86004,27,12,16,17,18,12,3,3,64,44,1
86005,10,12,17,26,19,16,3,3,49,57,2
86006,13,8,18,7,21,17,3,3,55,35,1
86007,17,15,13,16,18,23,0,6,48,60,2
86008,18,17,16,14,20,21,6,0,60,52,1
86009,14,25,6,10,9,13,6,0,35,48,2
86010,9,19,16,24,13,25,6,0,44,68,2
86011,17,11,15,8,14,9,3,3,49,31,1
86012,32,18,18,12,15,10,6,0,71,40,1
86013,20,13,13,17,21,13,0,6,54,49,1
86014,17,20,18,14,23,21,3,3,61,58,1
86015,9,9,18,19,24,9,0,6,51,43,1
86016,15,11,12,21,14,26,6,0,47,58,2
86017,17,16,15,18,10,17,6,0,48,51,2
86018,22,30,19,10,12,17,3,3,56,60,2
86019,16,16,12,24,25,12,0,6,53,58,2
86020,12,11,17,14,18,17,6,0,53,42,1
86021,10,30,14,17,16,20,0,6,40,73,2
86022,14,15,11,28,12,21,3,3,40,67,2
86023,14,17,22,15,21,15,6,0,63,47,1
86024,11,20,10,22,27,18,3,3,51,63,2
86025,24,25,13,16,16,15,0,6,53,62,2
86026,24,17,15,17,16,12,0,6,55,52,1
86027,9,18,18,13,25,21,3,3,55,55,0
86028,22,17,20,12,13,14,3,3,58,46,1
86029,21,15,18,17,15,22,6,0,60,54,1
86030,15,18,19,18,16,20,3,3,53,59,2
86031,12,14,18,18,12,15,6,0,48,47,1
86032,13,8,33,19,20,21,3,3,69,51,1
86033,16,11,14,23,29,14,0,6,59,54,1
86034,19,14,7,29,11,21,0,6,37,70,2
86035,15,23,14,8,16,17,6,0,51,48,1
86036,26,14,16,16,16,13,6,0,64,43,1
86037,24,15,14,17,14,22,3,3,55,57,2
86038,24,8,16,14,21,18,6,0,67,40,1
86039,27,26,25,16,17,12,3,3,72,57,1
86040,9,7,22,19,17,11,0,6,48,43,1
86041,13,17,10,20,11,15,3,3,37,55,2
86042,25,16,12,14,24,18,0,6,61,54,1
86043,16,22,13,10,22,23,6,0,57,55,1
86044,13,17,26,19,12,9,3,3,54,48,1
86045,23,16,24,15,22,18,6,0,75,49,1
86046,25,17,21,21,16,14,6,0,68,52,1
86047,17,18,21,15,20,22,0,6,58,61,2
86048,17,9,16,20,20,16,3,3,56,48,1
86049,12,15,11,15,17,17,6,0,46,47,2
86050,14,18,12,19,16,15,3,3,45,55,2
86051,13,17,26,16,25,14,6,0,70,47,1
86052,15,17,12,27,19,21,6,0,52,65,2
86053,20,14,17,12,9,14,3,3,49,43,1
86054,12,7,12,27,20,19,3,3,47,56,2
86055,20,13,16,21,16,25,0,6,52,65,2
86056,14,18,13,22,15,19,3,3,45,62,2
86057,12,12,14,20,16,21,6,0,48,53,2
86058,15,18,13,12,8,13,6,0,42,43,2
86059,21,18,11,23,16,12,3,3,51,56,2
