game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
0,19,20,11,12,18,23,6,0,54,55,2
1,30,19,19,16,15,10,6,0,70,45,1
2,19,22,16,13,16,16,0,6,51,57,2
3,22,15,32,17,18,9,0,6,72,47,1
4,12,18,17,12,19,7,3,3,51,40,1
5,11,16,11,27,17,15,3,3,42,61,2
6,14,15,17,16,14,6,0,6,45,43,1
7,18,19,14,19,19,15,3,3,54,56,2
8,17,18,25,18,9,13,6,0,57,49,1
9,26,16,20,8,18,9,3,3,67,36,1
10,21,13,7,8,17,29,6,0,51,50,1
11,20,19,16,18,17,16,0,6,53,59,2
12,13,21,14,12,19,15,0,6,46,54,2
13,23,18,18,9,21,15,0,6,62,48,1
14,14,11,13,11,16,18,3,3,46,43,1
15,14,14,23,21,32,11,0,6,69,52,1
16,25,15,14,22,11,12,6,0,56,49,1
17,15,13,10,15,15,15,0,6,40,49,2
18,27,19,17,14,12,18,6,0,62,51,1
19,7,21,13,16,12,18,6,0,38,55,2
20,23,17,22,24,17,18,6,0,68,59,1
21,16,22,9,25,12,20,3,3,40,70,2
22,13,12,29,20,8,9,3,3,53,44,1
23,16,10,17,15,15,16,0,6,48,47,1
24,23,17,15,12,11,15,0,6,49,50,2
25,18,17,16,16,11,11,3,3,48,47,1
26,17,8,24,11,20,16,0,6,61,41,1
27,15,12,19,14,14,14,6,0,54,40,1
28,20,17,13,18,26,16,3,3,62,54,1
29,15,20,8,22,13,21,6,0,42,63,2
30,20,15,11,19,20,20,3,3,54,57,2
31,18,17,14,18,19,13,6,0,57,48,1
32,20,20,25,20,18,20,3,3,66,63,1
33,23,21,11,18,12,23,6,0,52,62,2
34,16,15,24,15,25,12,3,3,68,45,1
35,15,12,22,15,10,30,6,0,53,57,2
36,32,11,14,22,18,18,0,6,64,57,1
37,15,13,24,18,15,13,6,0,60,44,1
38,20,14,16,16,10,16,6,0,52,46,1
39,15,14,18,18,18,16,3,3,54,51,1
40,22,18,11,15,7,22,6,0,46,55,2
41,23,22,12,13,17,13,3,3,55,51,1
42,16,13,17,12,18,22,3,3,54,50,1
43,18,11,18,16,20,11,6,0,62,38,1
44,24,13,13,21,14,22,0,6,51,62,2
45,27,15,13,15,11,15,3,3,54,48,1
46,16,18,22,13,16,24,3,3,57,58,2
47,15,14,23,12,10,16,0,6,48,48,0
48,11,20,16,13,19,16,0,6,46,55,2
49,17,12,22,23,24,16,0,6,63,57,1
50,20,13,17,20,23,20,6,0,66,53,1
51,17,16,17,16,23,14,6,0,63,46,1
52,16,18,19,13,23,12,0,6,58,49,1
53,15,14,17,14,23,7,0,6,55,41,1
54,22,18,18,20,26,10,0,6,66,54,1
55,16,17,19,13,18,16,6,0,59,46,1
56,17,20,19,7,15,15,3,3,54,45,1
57,13,10,13,26,7,14,6,0,39,50,2
58,29,17,20,10,13,18,3,3,65,48,1
59,20,19,19,19,9,20,6,0,54,58,2
60,11,15,19,17,15,25,6,0,51,57,2
61,28,12,10,18,16,14,0,6,54,50,1
62,20,17,31,10,20,19,6,0,77,46,1
63,18,16,12,17,24,14,0,6,54,53,1
64,15,16,21,13,15,11,6,0,57,40,1
65,20,25,19,15,7,10,3,3,49,53,2
66,16,9,20,16,14,18,0,6,50,49,1
67,17,23,11,18,26,9,3,3,57,53,1
68,19,17,18,9,19,24,6,0,62,50,1
69,24,27,14,17,18,12,0,6,56,62,2
70,12,16,18,17,22,14,0,6,52,53,2
71,11,13,16,23,13,13,0,6,40,55,2
72,22,18,20,25,15,15,6,0,63,58,1
73,15,6,27,8,17,12,6,0,65,26,1
74,17,13,18,21,20,10,0,6,55,50,1
75,18,16,13,7,16,25,0,6,47,54,2
76,19,8,14,17,20,13,3,3,56,41,1
77,20,16,35,24,15,14,6,0,76,54,1
78,23,11,25,10,14,13,3,3,65,37,1
79,24,14,24,18,12,18,6,0,66,50,1
80,13,10,15,24,25,18,3,3,56,55,1
81,14,22,13,12,22,19,0,6,49,59,2
82,14,14,16,23,15,16,3,3,48,56,2
83,17,18,16,19,14,14,6,0,53,51,1
84,18,24,12,20,14,8,3,3,47,55,2
85,17,15,18,15,16,12,3,3,54,45,1
86,14,19,17,18,20,23,6,0,57,60,2
87,19,12,10,19,19,11,0,6,48,48,0
88,15,19,20,14,9,14,0,6,44,53,2
89,23,18,9,8,11,14,6,0,49,40,1
90,27,24,13,12,22,11,0,6,62,53,1
91,16,12,20,17,22,16,3,3,61,48,1
92,14,16,17,18,20,15,0,6,51,55,2
93,17,21,16,19,29,18,6,0,68,58,1
94,21,10,27,10,22,16,0,6,70,42,1
95,12,26,17,16,10,20,6,0,45,62,2
96,22,24,14,15,15,15,6,0,57,54,1
97,14,19,25,10,13,20,3,3,55,52,1
98,23,18,14,14,16,14,3,3,56,49,1
99,15,17,22,18,14,23,0,6,51,64,2
100,23,11,19,13,14,14,6,0,62,38,1
101,16,22,14,12,11,19,3,3,44,56,2
102,15,19,19,12,14,17,0,6,48,54,2
103,22,24,13,26,11,15,3,3,49,68,2
104,18,15,19,16,16,15,6,0,59,46,1
105,20,16,10,10,12,6,0,6,42,38,1
106,16,13,24,23,14,17,0,6,54,59,2
107,16,15,9,17,21,14,0,6,46,52,2
108,27,18,19,18,21,11,3,3,70,50,1
109,18,23,14,12,18,18,3,3,53,56,2
110,15,25,14,13,8,16,6,0,43,54,2
111,18,20,13,11,18,32,6,0,55,63,2
112,19,17,22,8,15,19,3,3,59,47,1
113,16,12,21,7,18,24,0,6,55,49,1
114,16,11,15,15,11,24,6,0,48,50,2
115,10,12,12,12,15,16,3,3,40,43,2
116,20,7,14,22,15,11,0,6,49,46,1
117,24,17,17,19,6,7,3,3,50,46,1
118,12,19,15,15,10,12,6,0,43,46,2
119,16,21,15,17,12,15,6,0,49,53,2
120,18,22,12,6,18,26,0,6,48,60,2
121,13,17,18,20,18,12,0,6,49,55,2
122,15,17,12,17,28,25,3,3,58,62,2
123,13,10,17,14,6,14,3,3,39,41,2
124,20,30,13,14,20,15,0,6,53,65,2
125,25,20,17,16,15,11,0,6,57,53,1
126,11,23,14,13,21,12,6,0,52,48,1
127,17,24,21,11,14,8,6,0,58,43,1
128,19,14,13,17,22,23,0,6,54,60,2
129,12,15,17,16,19,28,3,3,51,62,2
130,12,12,30,22,10,18,3,3,55,55,0
131,10,16,26,23,16,21,3,3,55,63,2
132,21,12,14,17,13,17,6,0,54,46,1
133,9,16,21,25,11,15,0,6,41,62,2
134,14,22,9,20,15,17,0,6,38,65,2
135,8,14,17,14,31,26,0,6,56,60,2
136,14,17,23,11,25,19,3,3,65,50,1
137,17,10,7,12,22,12,3,3,49,37,1
138,11,15,21,21,19,10,3,3,54,49,1
139,14,26,21,15,12,23,0,6,47,70,2
140,13,8,16,14,14,16,0,6,43,44,2
141,16,21,19,12,15,17,3,3,53,53,0
142,21,23,14,20,9,16,3,3,47,62,2
143,14,15,17,15,17,24,3,3,51,57,2
144,19,10,16,23,18,9,0,6,53,48,1
145,11,23,12,17,22,15,3,3,48,58,2
146,21,16,19,25,18,14,3,3,61,58,1
147,12,18,13,13,22,12,3,3,50,46,1
148,11,25,10,15,13,13,0,6,34,59,2
149,30,15,11,23,12,16,3,3,56,57,2
150,10,16,22,19,17,18,0,6,49,59,2
151,10,10,26,13,16,17,0,6,52,46,1
152,22,14,9,23,14,8,0,6,45,51,2
153,18,21,28,21,5,15,6,0,57,57,0
154,18,15,21,9,12,30,6,0,57,54,1
155,10,22,20,19,18,17,6,0,54,58,2
156,12,7,21,13,12,19,6,0,51,39,1
157,10,17,13,18,32,16,3,3,58,54,1
158,14,21,15,11,13,16,0,6,42,54,2
159,15,21,27,7,13,29,0,6,55,63,2
160,22,17,18,12,23,26,3,3,66,58,1
161,17,16,22,19,13,17,6,0,58,52,1
162,18,17,18,13,19,27,3,3,58,60,2
163,23,15,18,22,24,17,0,6,65,60,1
164,11,12,29,17,15,20,6,0,61,49,1
165,22,19,7,22,14,13,3,3,46,57,2
166,18,18,17,17,18,13,0,6,53,54,2
167,12,8,17,21,23,27,0,6,52,62,2
168,17,15,23,20,11,16,0,6,51,57,2
169,17,14,12,17,33,14,3,3,65,48,1
170,14,25,16,21,21,20,3,3,54,69,2
171,24,24,13,14,7,12,3,3,47,53,2
172,17,7,22,18,22,14,0,6,61,45,1
173,23,21,7,12,13,28,3,3,46,64,2
174,16,16,12,15,23,16,6,0,57,47,1
175,16,20,19,18,15,11,0,6,50,55,2
176,23,11,20,19,16,12,6,0,65,42,1
177,13,15,9,11,19,21,3,3,44,50,2
178,15,8,23,20,11,12,3,3,52,43,1
179,26,14,14,13,21,13,3,3,64,43,1
180,15,13,21,16,17,11,0,6,53,46,1
181,12,13,11,20,15,24,6,0,44,57,2
182,12,14,15,15,7,19,6,0,40,48,2
183,27,14,25,24,14,8,6,0,72,46,1
184,28,15,14,16,9,8,0,6,51,45,1
185,15,18,18,17,19,15,3,3,55,53,1
186,9,21,18,19,9,21,6,0,42,61,2
187,20,15,27,11,7,15,6,0,60,41,1
188,11,18,15,20,12,15,6,0,44,53,2
189,18,14,10,15,9,18,3,3,40,50,2
190,9,19,18,24,15,20,0,6,42,69,2
191,13,18,17,15,20,15,3,3,53,51,1
192,24,27,9,14,9,13,6,0,48,54,2
193,11,7,16,17,23,20,6,0,56,44,1
194,27,17,13,17,13,19,3,3,56,56,0
195,12,12,12,26,7,24,6,0,37,62,2
196,14,15,15,15,9,19,3,3,41,52,2
197,7,17,19,12,11,28,0,6,37,63,2
198,25,12,17,14,17,9,0,6,59,41,1
199,9,20,11,17,11,24,0,6,31,67,2
200,19,28,18,16,15,20,6,0,58,64,2
201,11,10,19,16,28,18,6,0,64,44,1
202,20,12,10,12,12,14,6,0,48,38,1
203,17,15,15,15,22,14,6,0,60,44,1
204,13,15,16,14,21,20,6,0,56,49,1
205,17,16,26,11,8,12,3,3,54,42,1
206,17,19,19,18,14,13,3,3,53,53,0
207,24,16,19,24,18,21,3,3,64,64,0
208,27,14,11,20,19,8,0,6,57,48,1
209,20,12,20,15,13,12,0,6,53,45,1
210,9,15,14,15,22,23,6,0,51,53,2
211,15,15,15,17,17,16,3,3,50,51,2
212,14,20,14,17,15,13,6,0,49,50,2
213,13,34,18,16,12,13,6,0,49,63,2
214,12,19,11,21,30,13,6,0,59,53,1
215,16,14,15,22,16,15,6,0,53,51,1
216,17,16,9,17,28,16,0,6,54,55,2
217,16,18,10,25,14,17,3,3,43,63,2
218,15,14,28,18,7,21,6,0,56,53,1
219,17,23,18,17,15,26,0,6,50,72,2
220,17,21,17,20,17,22,6,0,57,63,2
221,11,17,13,19,17,27,0,6,41,69,2
222,19,16,13,21,9,20,6,0,47,57,2
223,23,9,20,18,21,20,3,3,67,50,1
224,25,14,26,13,11,16,6,0,68,43,1
225,16,17,17,9,18,15,0,6,51,47,1
226,26,6,25,19,15,20,0,6,66,51,1
227,19,19,13,9,20,14,3,3,55,45,1
228,24,10,20,14,16,19,0,6,60,49,1
229,22,23,16,14,22,15,6,0,66,52,1
230,26,16,20,9,14,8,6,0,66,33,1
231,23,14,17,17,12,13,0,6,52,50,1
232,11,14,10,18,16,27,3,3,40,62,2
233,18,20,9,13,24,12,0,6,51,51,0
234,11,15,14,18,26,9,0,6,51,48,1
235,20,12,19,17,11,22,0,6,50,57,2
236,20,15,11,20,14,17,6,0,51,52,2
237,17,14,6,16,13,20,3,3,39,53,2
238,12,22,16,15,28,10,0,6,56,53,1
239,18,14,24,15,15,17,3,3,60,49,1
240,11,14,14,27,17,16,6,0,48,57,2
241,9,29,10,9,18,17,0,6,37,61,2
242,10,26,16,8,26,15,0,6,52,55,2
243,21,28,14,14,19,21,6,0,60,63,2
244,16,13,21,17,18,11,0,6,55,47,1
245,13,14,24,13,17,15,3,3,57,45,1
246,14,13,21,25,24,19,3,3,62,60,1
247,14,15,16,17,23,23,3,3,56,58,2
248,13,16,24,13,15,26,6,0,58,55,1
249,20,22,18,25,15,12,6,0,59,59,0
250,17,19,12,16,16,30,0,6,45,71,2
251,25,11,11,14,25,10,0,6,61,41,1
252,13,21,15,9,18,14,6,0,52,44,1
253,15,16,13,4,17,20,6,0,51,40,1
254,28,16,12,8,14,17,3,3,57,44,1
255,21,11,17,10,19,12,3,3,60,36,1
256,12,24,25,19,12,15,6,0,55,58,2
257,20,15,21,10,22,9,0,6,63,40,1
258,28,20,11,17,12,18,6,0,57,55,1
259,16,24,23,23,16,17,3,3,58,67,2
260,16,19,14,18,20,26,6,0,56,63,2
261,19,24,14,11,16,18,6,0,55,53,1
262,13,19,18,18,17,22,3,3,51,62,2
263,8,25,20,16,17,26,6,0,51,67,2
264,27,14,22,12,20,8,0,6,69,40,1
265,16,19,22,13,14,12,6,0,58,44,1
266,15,21,20,30,26,15,0,6,61,72,2
267,15,17,16,12,9,19,6,0,46,48,2
268,14,12,17,16,16,22,6,0,53,50,1
269,16,13,20,21,12,10,3,3,51,47,1
270,21,12,30,11,22,18,6,0,79,41,1
271,17,18,9,9,13,13,3,3,42,43,2
272,23,21,19,11,21,14,3,3,66,49,1
273,11,24,18,13,23,16,3,3,55,56,2
274,12,15,11,17,17,25,6,0,46,57,2
275,15,7,6,19,26,9,0,6,47,41,1
276,23,26,22,12,16,22,6,0,67,60,1
277,22,15,15,12,10,30,6,0,53,57,2
278,19,11,15,15,20,15,0,6,54,47,1
279,16,19,20,18,17,12,0,6,53,55,2
280,12,18,10,14,13,22,3,3,38,57,2
281,13,19,15,10,21,17,3,3,52,49,1
282,13,10,15,14,13,16,3,3,44,43,1
283,27,18,12,13,17,11,6,0,62,42,1
284,13,15,9,21,20,9,0,6,42,51,2
285,14,12,14,14,12,17,3,3,43,46,2
286,18,11,25,20,12,20,6,0,61,51,1
287,14,13,14,17,22,21,3,3,53,54,2
288,21,15,11,11,18,20,6,0,56,46,1
289,18,11,21,16,15,16,6,0,60,43,1
290,9,17,21,15,20,18,6,0,56,50,1
291,20,15,18,12,19,17,6,0,63,44,1
292,15,14,11,17,13,21,0,6,39,58,2
293,15,26,14,18,21,19,0,6,50,69,2
294,19,9,17,15,19,23,3,3,58,50,1
295,10,22,17,8,20,12,3,3,50,45,1
296,26,12,21,14,14,25,0,6,61,57,1
297,24,24,10,20,8,18,6,0,48,62,2
298,21,16,25,20,19,14,3,3,68,53,1
299,22,17,13,11,26,16,3,3,64,47,1
300,21,20,14,24,25,14,3,3,63,61,1
301,14,19,23,32,20,13,0,6,57,70,2
302,7,16,20,13,9,17,3,3,39,49,2
303,14,12,13,23,14,21,6,0,47,56,2
304,17,15,15,21,18,21,6,0,56,57,2
305,16,20,17,17,17,20,3,3,53,60,2
306,12,18,24,29,18,16,6,0,60,63,2
307,9,26,23,21,12,11,0,6,44,64,2
308,22,10,23,13,14,18,3,3,62,44,1
309,14,27,11,9,18,21,0,6,43,63,2
310,23,25,28,20,16,18,3,3,70,66,1
311,9,3,20,18,20,18,3,3,52,42,1
312,23,7,23,25,21,16,0,6,67,54,1
313,16,22,20,13,19,18,3,3,58,56,1
314,13,17,17,21,8,27,0,6,38,71,2
315,16,15,18,12,19,16,6,0,59,43,1
316,18,11,16,17,22,19,0,6,56,53,1
317,6,9,18,7,15,18,3,3,42,37,1
318,21,9,18,29,11,18,6,0,56,56,0
319,11,25,24,12,18,13,0,6,53,56,2
320,23,23,18,7,16,10,0,6,57,46,1
321,9,31,17,20,14,13,0,6,40,70,2
322,11,16,26,19,26,23,3,3,66,61,1
323,19,14,21,16,25,14,3,3,68,47,1
324,17,15,23,26,17,30,6,0,63,71,2
325,19,19,15,16,11,11,0,6,45,52,2
326,22,17,13,17,23,20,3,3,61,57,1
327,9,12,16,16,14,34,6,0,45,62,2
328,16,16,14,19,14,20,6,0,50,55,2
329,24,9,16,20,15,18,0,6,55,53,1
330,12,7,18,13,14,17,6,0,50,37,1
331,19,15,15,23,17,16,0,6,51,60,2
332,12,15,23,10,19,19,3,3,57,47,1
333,10,16,9,13,15,16,0,6,34,51,2
