game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
80105,18,12,15,23,17,18,0,6,50,59,2
80106,11,9,20,9,18,12,3,3,52,33,1
80107,16,16,13,12,27,17,3,3,59,48,1
80108,15,16,21,11,12,18,3,3,51,48,1
80109,20,15,12,19,22,23,3,3,57,60,2
80110,20,16,15,14,19,18,3,3,57,51,1
80111,15,17,20,15,11,15,6,0,52,47,1
80112,12,17,24,10,15,9,0,6,51,42,1
80113,21,16,15,14,12,6,0,6,48,42,1
80114,15,11,16,19,9,16,3,3,43,49,2
80115,22,10,14,13,16,13,0,6,52,42,1
80116,12,13,9,13,21,14,3,3,45,43,1
80117,15,11,12,18,20,15,0,6,47,50,2
80118,11,18,18,8,14,10,0,6,43,42,1
80119,17,12,10,10,15,12,6,0,48,34,1
80120,18,12,24,13,26,16,3,3,71,44,1
80121,22,12,11,19,13,16,6,0,52,47,1
80122,4,13,14,17,20,15,3,3,41,48,2
80123,7,11,9,21,12,14,3,3,31,49,2
80124,12,16,19,12,8,16,6,0,45,44,1
80125,16,17,11,11,16,17,3,3,46,48,2
80126,10,15,14,22,17,16,3,3,44,56,2
80127,11,19,18,22,13,14,6,0,48,55,2
80128,14,16,12,18,16,12,6,0,48,46,1
80129,14,11,8,11,12,13,3,3,37,38,2
80130,12,18,21,23,23,10,0,6,56,57,2
80131,16,12,17,19,16,16,0,6,49,53,2
80132,16,12,17,20,15,20,3,3,51,55,2
80133,23,11,17,11,19,33,3,3,62,58,1
80134,12,16,14,22,13,11,3,3,42,52,2
80135,15,21,9,12,18,10,0,6,42,49,2
80136,23,9,20,15,9,10,3,3,55,37,1
80137,13,12,19,14,22,19,6,0,60,45,1
80138,20,12,16,21,18,10,3,3,57,46,1
80139,26,12,9,10,18,21,3,3,56,46,1
80140,11,8,22,19,14,14,3,3,50,44,1
80141,24,17,8,15,13,23,0,6,45,61,2
80142,20,15,20,13,17,9,0,6,57,43,1
80143,12,17,13,23,9,16,6,0,40,56,2
80144,18,15,12,23,23,9,0,6,53,53,0
80145,17,19,15,25,15,11,0,6,47,61,2
80146,21,24,14,11,18,15,3,3,56,53,1
80147,14,14,16,14,9,12,0,6,39,46,2
80148,26,17,21,17,21,7,0,6,68,47,1
80149,14,18,24,13,17,21,6,0,61,52,1
80150,29,21,13,17,14,15,0,6,56,59,2
80151,7,11,23,15,13,12,0,6,43,44,2
80152,9,12,14,19,13,9,0,6,36,46,2
80153,17,11,11,18,15,16,6,0,49,45,1
80154,20,14,13,19,18,17,3,3,54,53,1
80155,18,19,10,14,18,10,3,3,49,46,1
80156,23,14,12,25,12,14,0,6,47,59,2
80157,27,15,7,13,15,18,0,6,49,52,2
80158,11,7,24,25,11,26,6,0,52,58,2
80159,14,22,16,13,20,23,3,3,53,61,2
80160,18,16,19,14,14,7,0,6,51,43,1
80161,14,17,14,9,20,17,6,0,54,43,1
80162,8,12,15,18,19,17,6,0,48,47,1
80163,21,19,9,11,16,19,6,0,52,49,1
80164,14,23,14,6,11,18,3,3,42,50,2
80165,15,29,18,10,10,25,6,0,49,64,2
80166,16,18,13,13,16,17,0,6,45,54,2
80167,17,12,23,18,14,16,6,0,60,46,1
80168,7,6,22,22,20,10,3,3,52,41,1
80169,17,12,12,22,14,21,6,0,49,55,2
80170,10,19,15,24,14,15,6,0,45,58,2
80171,19,23,16,7,12,9,3,3,50,42,1
80172,12,19,17,10,18,19,0,6,47,54,2
80173,9,16,14,15,17,12,3,3,43,46,2
80174,7,13,12,14,27,16,6,0,52,43,1
80175,22,14,10,19,17,19,3,3,52,55,2
80176,9,13,22,20,15,14,6,0,52,47,1
80177,21,9,14,25,16,10,3,3,54,47,1
80178,20,7,13,20,11,13,3,3,47,43,1
80179,12,13,14,20,9,27,6,0,41,60,2
80180,19,8,12,11,20,22,6,0,57,41,1
80181,17,16,18,12,16,17,0,6,51,51,0
80182,18,8,23,10,14,19,6,0,61,37,1
80183,23,17,12,21,18,7,0,6,53,51,1
80184,19,17,7,19,14,18,6,0,46,54,2
80185,10,19,10,14,12,22,3,3,35,58,2
80186,22,10,8,15,25,22,3,3,58,50,1
80187,17,11,21,15,8,10,0,6,46,42,1
80188,19,19,14,28,14,21,6,0,53,68,2
80189,29,20,18,12,16,10,0,6,63,48,1
80190,16,9,22,18,26,15,3,3,67,45,1
80191,20,9,14,26,14,18,3,3,51,56,2
