game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
0,14,18,17,6,11,12,3,3,45,39,1
1,19,8,21,17,16,17,3,3,59,45,1
2,13,24,15,19,6,12,0,6,34,61,2
3,16,15,14,20,19,11,3,3,52,49,1
4,24,21,14,20,10,6,6,0,54,47,1
5,12,18,10,21,9,8,6,0,37,47,2
6,8,14,17,26,14,21,6,0,45,61,2
7,13,17,11,17,15,15,3,3,42,52,2
8,14,10,24,19,13,15,0,6,51,50,1
9,15,18,12,11,12,21,3,3,42,53,2
10,12,18,16,10,14,15,6,0,48,43,1
11,14,12,18,15,9,18,0,6,41,51,2
12,10,24,13,18,9,15,6,0,38,57,2
13,14,13,9,9,24,18,3,3,50,43,1
14,19,17,25,21,12,16,6,0,62,54,1
15,12,9,14,16,7,8,6,0,39,33,1
16,9,12,24,17,10,19,6,0,49,48,1
17,13,22,19,17,17,17,6,0,55,56,2
18,18,14,9,12,16,18,3,3,46,47,2
19,14,16,18,14,11,14,0,6,43,50,2
20,14,16,12,16,11,18,3,3,40,53,2
21,15,8,9,25,10,15,6,0,40,48,2
22,15,14,13,13,17,10,3,3,48,40,1
23,16,20,11,9,17,21,0,6,44,56,2
24,9,23,13,21,12,12,3,3,37,59,2
25,25,17,10,17,15,19,6,0,56,53,1
26,24,21,12,12,19,10,0,6,55,49,1
27,9,25,15,13,8,14,6,0,38,52,2
28,13,15,21,21,17,11,0,6,51,53,2
29,10,18,12,16,20,12,0,6,42,52,2
30,16,20,15,23,14,21,6,0,51,64,2
31,14,18,9,12,10,15,6,0,39,45,2
32,12,11,13,14,23,21,0,6,48,52,2
33,9,11,8,22,9,7,0,6,26,46,2
34,17,30,10,17,14,20,6,0,47,67,2
35,10,23,22,12,13,12,6,0,51,47,1
36,13,13,13,13,14,17,3,3,43,46,2
37,18,14,12,13,16,7,0,6,46,40,1
38,18,8,14,20,16,17,0,6,48,51,2
39,11,11,17,14,16,22,6,0,50,47,1
40,11,25,13,14,18,23,0,6,42,68,2
41,7,13,15,28,19,7,3,3,44,51,2
42,14,18,17,19,17,17,0,6,48,60,2
43,7,14,14,15,14,15,0,6,35,50,2
44,17,20,11,15,12,14,6,0,46,49,2
45,13,18,17,7,7,12,6,0,43,37,1
46,14,12,12,13,15,18,6,0,47,43,1
47,9,19,15,17,15,17,3,3,42,56,2
48,12,21,26,12,17,16,3,3,58,52,1
49,18,15,13,25,16,11,6,0,53,51,1
50,10,29,11,17,14,19,6,0,41,65,2
51,11,20,13,12,12,21,6,0,42,53,2
52,11,14,19,15,17,19,6,0,53,48,1
53,14,19,11,16,12,25,6,0,43,60,2
54,14,20,10,13,19,17,3,3,46,53,2
55,19,14,18,17,16,24,6,0,59,55,1
56,23,10,13,28,13,7,0,6,49,51,2
57,14,19,10,19,17,17,0,6,41,61,2
58,9,13,11,14,19,22,0,6,39,55,2
59,11,13,10,22,14,13,3,3,38,51,2
60,15,12,12,14,23,14,3,3,53,43,1
61,15,16,12,23,11,18,3,3,41,60,2
62,19,7,11,23,18,24,6,0,54,54,0
63,7,16,19,17,24,14,0,6,50,53,2
64,11,15,18,13,23,21,3,3,55,52,1
65,7,16,10,13,13,13,0,6,30,48,2
66,15,10,13,16,19,16,6,0,53,42,1
67,20,13,21,11,12,12,6,0,59,36,1
68,17,10,10,11,17,16,3,3,47,40,1
69,11,17,19,18,12,26,0,6,42,67,2
70,29,11,12,23,17,7,0,6,58,47,1
71,6,3,23,22,11,20,3,3,43,48,2
72,12,7,10,16,29,12,3,3,54,38,1
73,22,11,12,11,10,9,6,0,50,31,1
74,15,10,16,12,17,16,6,0,54,38,1
75,16,16,11,19,15,12,3,3,45,50,2
76,9,11,12,14,13,17,0,6,34,48,2
77,13,11,16,25,17,14,0,6,46,56,2
78,13,6,16,21,13,14,0,6,42,47,2
79,14,14,7,13,21,20,6,0,48,47,1
80,9,18,11,17,20,12,0,6,40,53,2
81,14,22,13,17,11,13,0,6,38,58,2
82,11,8,10,18,13,23,6,0,40,49,2
83,13,25,12,11,17,10,6,0,48,46,1
84,13,11,17,17,11,10,6,0,47,38,1
85,17,18,19,7,11,19,3,3,50,47,1
86,12,9,17,17,13,7,0,6,42,39,1
87,12,15,19,20,11,16,0,6,42,57,2
88,7,9,15,25,15,15,0,6,37,55,2
89,14,19,19,7,22,16,3,3,58,45,1
90,21,21,14,15,18,9,3,3,56,48,1
91,12,19,10,17,13,24,3,3,38,63,2
92,15,16,11,16,17,28,0,6,43,66,2
93,22,9,9,15,18,10,6,0,55,34,1
94,16,14,19,10,18,16,0,6,53,46,1
95,18,28,17,12,14,24,6,0,55,64,2
96,19,12,14,9,11,19,6,0,50,40,1
97,12,15,16,17,21,20,6,0,55,52,1
98,15,16,17,21,11,8,0,6,43,51,2
99,17,25,9,15,18,22,0,6,44,68,2
100,17,16,12,11,12,20,0,6,41,53,2
101,7,14,13,14,9,28,6,0,35,56,2
102,17,15,28,18,13,13,3,3,61,49,1
103,9,13,12,9,8,19,6,0,35,41,2
104,11,13,14,22,11,12,0,6,36,53,2
105,18,15,13,19,21,22,3,3,55,59,2
106,17,14,15,19,22,10,0,6,54,49,1
107,14,15,19,14,14,24,3,3,50,56,2
108,24,22,14,11,19,20,6,0,63,53,1
109,13,12,12,14,22,16,0,6,47,48,2
110,16,20,19,22,10,14,6,0,51,56,2
111,24,11,17,15,16,10,6,0,63,36,1
112,18,20,21,11,12,22,6,0,57,53,1
113,11,10,12,9,21,19,6,0,50,38,1
114,16,14,14,14,19,21,0,6,49,55,2
115,10,19,21,22,17,18,0,6,48,65,2
116,10,7,18,18,19,12,6,0,53,37,1
117,15,10,26,17,14,24,3,3,58,54,1
118,14,16,9,16,18,11,3,3,44,46,2
119,20,12,14,24,18,17,6,0,58,53,1
120,12,8,20,27,23,23,3,3,58,61,2
121,18,12,19,12,14,31,3,3,54,58,2
