game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
0,9,21,18,12,7,20,3,3,37,56,2
1,17,21,11,11,14,22,0,6,42,60,2
2,19,17,16,12,9,22,6,0,50,51,2
3,9,16,19,19,19,14,3,3,50,52,2
4,13,16,13,16,18,24,6,0,50,56,2
5,18,26,11,17,12,9,0,6,41,58,2
6,9,22,17,6,9,11,6,0,41,39,1
7,23,10,11,12,18,18,6,0,58,40,1
8,13,15,13,11,12,7,0,6,38,39,2
9,18,14,16,18,18,16,0,6,52,54,2
10,12,12,14,25,20,14,3,3,49,54,2
11,18,7,11,21,9,14,0,6,38,48,2
12,13,17,20,9,16,20,3,3,52,49,1
13,9,13,19,15,17,11,0,6,45,45,0
14,15,13,22,7,10,17,6,0,53,37,1
15,19,29,30,12,19,21,3,3,71,65,1
16,16,7,17,20,17,10,3,3,53,40,1
17,27,20,16,11,16,18,0,6,59,55,1
18,17,13,15,11,31,14,0,6,63,44,1
19,18,16,15,12,24,12,6,0,63,40,1
20,11,14,20,22,15,11,3,3,49,50,2
21,15,10,13,14,24,21,3,3,55,48,1
22,21,19,9,23,16,19,0,6,46,67,2
23,15,31,11,23,12,9,3,3,41,66,2
24,7,9,12,14,16,16,3,3,38,42,2
25,18,11,25,13,18,16,0,6,61,46,1
26,19,15,20,23,11,18,6,0,56,56,0
27,22,20,12,23,22,25,6,0,62,68,2
28,16,13,9,20,10,16,0,6,35,55,2
29,15,20,14,13,12,18,6,0,47,51,2
30,16,16,12,22,18,15,0,6,46,59,2
31,13,14,14,13,26,13,3,3,56,43,1
32,11,9,13,12,16,10,6,0,46,31,1
33,25,15,10,15,10,19,0,6,45,55,2
34,25,19,12,14,20,13,6,0,63,46,1
35,9,10,14,6,8,18,6,0,37,34,1
36,18,14,11,16,9,15,6,0,44,45,2
37,19,22,21,15,17,13,6,0,63,50,1
38,15,11,27,27,10,10,6,0,58,48,1
39,17,22,20,10,9,11,3,3,49,46,1
40,17,15,17,23,19,21,6,0,59,59,0
41,17,15,9,15,19,11,6,0,51,41,1
42,12,17,15,10,16,12,0,6,43,45,2
43,31,15,11,11,13,16,0,6,55,48,1
44,26,11,29,15,12,18,6,0,73,44,1
45,12,17,12,26,20,18,0,6,44,67,2
46,9,16,13,10,18,14,0,6,40,46,2
47,11,10,26,22,14,14,0,6,51,52,2
48,24,21,12,12,13,14,0,6,49,53,2
49,9,19,25,22,16,19,3,3,53,63,2
50,15,20,19,12,19,21,6,0,59,53,1
51,24,28,17,20,12,6,3,3,56,57,2
52,26,18,13,11,15,24,0,6,54,59,2
53,12,22,7,18,13,7,3,3,35,50,2
54,20,14,18,9,18,13,3,3,59,39,1
55,8,21,18,15,14,16,6,0,46,52,2
56,6,15,16,17,19,21,0,6,41,59,2
57,9,14,9,19,7,24,3,3,28,60,2
58,22,15,26,16,15,18,6,0,69,49,1
59,12,16,14,18,11,13,3,3,40,50,2
60,15,15,30,17,10,5,6,0,61,37,1
61,18,18,24,23,21,10,6,0,69,51,1
62,20,12,21,9,24,22,3,3,68,46,1
63,16,16,24,12,22,13,6,0,68,41,1
64,13,10,23,16,20,21,6,0,62,47,1
65,16,13,19,15,18,17,6,0,59,45,1
66,19,11,24,24,18,19,3,3,64,57,1
67,17,16,20,19,12,11,3,3,52,49,1
68,25,14,13,21,12,18,3,3,53,56,2
69,18,15,18,16,23,11,0,6,59,48,1
70,10,16,13,10,20,18,3,3,46,47,2
71,10,12,11,21,23,7,0,6,44,46,2
72,28,12,24,17,9,15,3,3,64,47,1
73,22,13,17,22,26,11,0,6,65,52,1
