game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
18901,21,15,11,15,16,6,0,6,48,42,1
18902,12,14,27,16,17,12,3,3,59,45,1
18903,24,8,19,18,18,13,0,6,61,45,1
18904,16,11,28,16,16,11,6,0,66,38,1
18905,11,19,7,17,12,25,3,3,33,64,2
18906,23,15,26,13,14,25,6,0,69,53,1
18907,17,7,20,15,15,9,6,0,58,31,1
18908,10,11,9,18,17,21,6,0,42,50,2
18909,30,16,11,25,9,13,6,0,56,54,1
18910,14,13,21,19,21,12,0,6,56,50,1
18911,20,15,20,20,9,15,3,3,52,53,2
18912,22,17,11,17,22,12,0,6,55,52,1
18913,15,22,23,10,17,12,3,3,58,47,1
18914,16,11,19,26,15,23,0,6,50,66,2
18915,23,11,34,10,16,19,3,3,76,43,1
18916,14,8,12,21,21,11,3,3,50,43,1
18917,23,21,16,23,16,14,3,3,58,61,2
18918,16,18,20,17,12,21,3,3,51,59,2
18919,13,19,14,28,9,27,0,6,36,80,2
18920,16,23,12,9,12,23,0,6,40,61,2
18921,9,20,13,18,18,18,0,6,40,62,2
18922,11,17,23,11,27,17,0,6,61,51,1
18923,9,13,12,11,16,19,0,6,37,49,2
18924,15,13,16,12,16,15,3,3,50,43,1
18925,18,20,16,14,13,15,3,3,50,52,2
18926,13,12,16,17,29,18,0,6,58,53,1
18927,11,21,13,9,13,21,3,3,40,54,2
18928,13,19,12,17,13,27,6,0,44,63,2
18929,21,19,12,17,7,28,6,0,46,64,2
18930,14,16,18,18,14,14,0,6,46,54,2
18931,19,18,22,26,12,17,6,0,59,61,2
18932,11,14,17,14,13,15,6,0,47,43,1
18933,11,20,15,14,28,24,6,0,60,58,1
18934,16,16,23,11,7,7,6,0,52,34,1
18935,24,25,22,8,14,15,6,0,66,48,1
18936,22,22,25,20,10,22,6,0,63,64,2
18937,18,13,7,18,17,13,0,6,42,50,2
18938,13,10,20,16,17,18,3,3,53,47,1
18939,21,11,12,12,17,9,0,6,50,38,1
18940,15,22,15,8,22,12,0,6,52,48,1
18941,25,16,25,19,11,12,0,6,61,53,1
18942,25,17,12,17,24,10,0,6,61,50,1
18943,16,7,12,14,17,19,3,3,48,43,1
18944,15,27,12,18,20,14,3,3,50,62,2
18945,19,27,14,20,9,16,6,0,48,63,2
18946,18,13,27,21,24,11,0,6,69,51,1
18947,14,16,15,13,20,28,3,3,52,60,2
18948,14,21,29,14,13,12,6,0,62,47,1
18949,15,20,13,10,14,15,6,0,48,45,1
18950,14,17,12,13,18,7,0,6,44,43,1
18951,15,14,12,13,26,18,0,6,53,51,1
18952,11,13,10,12,22,20,6,0,49,45,1
18953,19,21,16,24,13,18,0,6,48,69,2
18954,23,12,22,15,22,13,0,6,67,46,1
18955,22,14,19,19,13,16,3,3,57,52,1
18956,9,20,12,20,19,15,6,0,46,55,2
18957,20,11,26,13,18,13,3,3,67,40,1
18958,16,13,16,22,13,6,0,6,45,47,2
18959,31,10,24,12,25,14,3,3,83,39,1
18960,16,8,19,23,19,9,6,0,60,40,1
18961,12,6,17,13,12,11,3,3,44,33,1
18962,20,12,25,24,13,18,0,6,58,60,2
18963,27,16,13,17,21,18,0,6,61,57,1
18964,15,17,25,20,19,13,0,6,59,56,1
18965,22,16,14,15,6,16,0,6,42,53,2
18966,17,11,10,17,13,18,0,6,40,52,2
18967,15,18,17,12,23,13,6,0,61,43,1
18968,11,15,17,10,17,15,3,3,48,43,1
18969,16,11,18,16,10,27,3,3,47,57,2
18970,17,14,16,15,12,9,0,6,45,44,1
18971,24,17,13,22,9,9,3,3,49,51,2
18972,19,15,24,23,19,20,3,3,65,61,1
18973,13,20,21,13,19,17,6,0,59,50,1
18974,21,19,12,11,20,13,0,6,53,49,1
18975,19,7,24,14,17,14,6,0,66,35,1
18976,8,13,10,26,18,24,6,0,42,63,2
18977,22,7,15,23,10,28,6,0,53,58,2
18978,17,24,18,22,7,14,3,3,45,63,2
18979,14,17,27,17,17,19,6,0,64,53,1
18980,20,12,12,18,18,16,0,6,50,52,2
18981,23,13,14,14,8,15,6,0,51,42,1
18982,13,6,14,22,15,13,6,0,48,41,1
18983,21,9,20,20,21,13,6,0,68,42,1
18984,12,17,19,19,15,19,0,6,46,61,2
18985,18,17,13,10,14,15,3,3,48,45,1
18986,19,16,8,31,28,12,3,3,58,62,2
18987,24,14,17,18,13,25,6,0,60,57,1
18988,18,17,22,9,12,24,0,6,52,56,2
18989,11,21,16,12,28,16,0,6,55,55,0
18990,31,12,17,27,9,22,3,3,60,64,2
18991,8,18,11,8,21,14,0,6,40,46,2
18992,20,16,11,14,16,27,3,3,50,60,2
18993,7,12,20,17,13,17,6,0,46,46,0
18994,23,21,10,13,16,7,0,6,49,47,1
18995,13,16,14,9,15,13,0,6,42,44,2
18996,12,16,12,30,11,17,6,0,41,63,2
18997,17,22,19,10,23,21,0,6,59,59,0
18998,11,18,16,11,7,14,6,0,40,43,2
18999,14,14,13,14,27,16,3,3,57,47,1
