game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
0,14,17,13,13,12,9,0,6,39,45,2
1,19,14,9,11,13,16,0,6,41,47,2
2,15,13,20,15,9,12,3,3,47,43,1
3,17,19,11,13,13,19,6,0,47,51,2
4,19,13,14,14,12,18,3,3,48,48,0
5,20,9,17,18,20,22,6,0,63,49,1
6,12,12,12,26,11,25,6,0,41,63,2
7,9,14,17,23,16,11,0,6,42,54,2
8,14,13,26,13,11,20,3,3,54,49,1
9,13,19,15,19,19,9,0,6,47,53,2
10,11,12,9,14,11,16,0,6,31,48,2
11,13,17,17,25,9,14,6,0,45,56,2
12,13,14,18,9,21,20,3,3,55,46,1
13,11,20,15,24,11,10,3,3,40,57,2
14,24,25,18,24,17,18,0,6,59,73,2
15,13,15,12,12,17,20,0,6,42,53,2
16,11,19,10,26,18,18,0,6,39,69,2
17,12,14,16,16,11,27,3,3,42,60,2
18,21,13,8,9,12,14,0,6,41,42,2
19,20,16,19,7,16,13,6,0,61,36,1
20,15,31,24,22,19,9,0,6,58,68,2
21,16,9,9,20,14,17,0,6,39,52,2
22,16,9,7,20,12,8,0,6,35,43,2
23,17,23,14,15,9,15,6,0,46,53,2
24,14,20,11,12,17,12,0,6,42,50,2
25,9,27,17,14,13,12,6,0,45,53,2
26,10,12,13,16,6,27,0,6,29,61,2
27,17,16,15,22,19,16,6,0,57,54,1
28,14,20,14,19,14,14,6,0,48,53,2
29,16,10,13,16,21,17,6,0,56,43,1
30,19,25,14,22,12,15,6,0,51,62,2
31,10,18,15,20,20,10,3,3,48,51,2
32,12,13,13,15,9,28,6,0,40,56,2
33,19,11,9,26,14,14,6,0,48,51,2
34,18,18,13,27,20,15,3,3,54,63,2
35,19,17,16,21,13,28,6,0,54,66,2
36,14,15,19,19,11,11,6,0,50,45,1
37,21,18,19,8,13,19,0,6,53,51,1
38,16,15,11,16,12,10,6,0,45,41,1
39,21,14,6,13,6,15,0,6,33,48,2
40,17,24,23,16,17,9,0,6,57,55,1
41,12,18,14,25,20,14,3,3,49,60,2
42,16,18,20,15,15,14,6,0,57,47,1
43,13,10,10,18,9,20,6,0,38,48,2
44,13,11,10,18,16,16,3,3,42,48,2
45,23,19,13,15,12,10,0,6,48,50,2
46,15,22,9,18,12,16,0,6,36,62,2
47,10,6,17,16,19,15,6,0,52,37,1
48,9,11,10,24,18,14,0,6,37,55,2
49,9,27,15,18,12,25,6,0,42,70,2
50,14,20,10,20,12,16,3,3,39,59,2
51,21,20,11,23,16,20,0,6,48,69,2
52,14,17,14,22,14,7,6,0,48,46,1
53,15,20,14,16,18,20,0,6,47,62,2
54,13,19,16,18,15,18,6,0,50,55,2
55,13,13,25,15,13,12,6,0,57,40,1
56,23,12,10,21,13,23,0,6,46,62,2
57,17,21,17,13,12,16,6,0,52,50,1
58,20,15,13,12,24,19,6,0,63,46,1
