game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
0,16,8,15,19,16,18,0,6,47,51,2
1,18,20,23,24,21,15,3,3,65,62,1
2,11,11,16,16,17,17,0,6,44,50,2
3,14,20,13,18,13,13,3,3,43,54,2
4,18,18,10,11,22,14,3,3,53,46,1
5,17,16,11,20,10,9,0,6,38,51,2
6,24,19,12,24,14,24,6,0,56,67,2
7,14,26,18,18,17,13,3,3,52,60,2
8,11,26,12,17,16,30,6,0,45,73,2
9,15,27,13,18,10,22,6,0,44,67,2
10,14,13,22,16,12,28,0,6,48,63,2
11,17,23,15,15,15,13,6,0,53,51,1
12,22,15,17,12,16,20,0,6,55,53,1
13,12,13,14,19,11,16,6,0,43,48,2
14,15,15,22,21,15,14,6,0,58,50,1
15,18,11,12,12,23,16,3,3,56,42,1
16,15,10,17,19,10,11,6,0,48,40,1
17,16,12,12,17,15,15,0,6,43,50,2
18,11,21,22,18,13,13,3,3,49,55,2
19,19,8,23,21,16,9,0,6,58,44,1
20,14,21,15,20,13,25,6,0,48,66,2
21,9,6,22,16,14,17,3,3,48,42,1
22,17,23,30,8,18,19,3,3,68,53,1
23,9,13,23,20,12,31,3,3,47,67,2
24,14,18,12,10,18,18,6,0,50,46,1
25,17,17,17,16,10,11,0,6,44,50,2
26,18,21,20,19,24,17,0,6,62,63,2
27,15,21,17,14,12,23,0,6,44,64,2
28,18,11,22,11,18,17,3,3,61,42,1
29,21,16,15,11,21,17,6,0,63,44,1
30,13,9,21,17,24,15,0,6,58,47,1
31,18,22,14,19,23,16,0,6,55,63,2
32,15,15,31,11,16,14,6,0,68,40,1
33,19,14,22,22,14,15,6,0,61,51,1
34,9,12,16,16,14,14,6,0,45,42,1
35,7,19,21,12,17,13,6,0,51,44,1
36,15,14,26,14,9,21,3,3,53,52,1
37,21,10,16,20,11,26,6,0,54,56,2
38,14,18,12,18,14,22,6,0,46,58,2
39,12,21,10,18,13,14,6,0,41,53,2
40,22,19,14,11,21,24,3,3,60,57,1
41,21,18,15,13,14,16,3,3,53,50,1
42,16,11,22,15,18,15,0,6,56,47,1
43,16,10,21,18,11,11,0,6,48,45,1
44,7,6,23,26,19,18,3,3,52,53,2
45,14,18,17,10,24,18,0,6,55,52,1
46,12,17,10,13,9,12,3,3,34,45,2
47,15,14,12,14,28,9,0,6,55,43,1
48,14,24,15,12,10,15,6,0,45,51,2
49,16,16,24,7,16,14,3,3,59,40,1
50,21,22,22,14,15,16,6,0,64,52,1
51,13,14,18,11,10,19,6,0,47,44,1
52,15,21,25,20,9,20,6,0,55,61,2
53,17,21,14,10,15,6,6,0,52,37,1
54,27,12,21,13,10,13,6,0,64,38,1
55,24,10,25,9,25,21,6,0,80,40,1
56,14,15,13,10,20,19,3,3,50,47,1
57,20,18,27,17,13,20,3,3,63,58,1
58,15,20,11,19,17,27,6,0,49,66,2
59,26,21,21,17,23,22,3,3,73,63,1
60,17,19,14,12,18,15,3,3,52,49,1
61,19,19,27,10,12,14,6,0,64,43,1
62,27,14,18,22,15,13,6,0,66,49,1
63,21,15,14,14,25,12,3,3,63,44,1
64,24,13,21,19,22,9,6,0,73,41,1
65,25,16,14,11,23,17,0,6,62,50,1
66,17,20,11,15,17,12,6,0,51,47,1
67,29,10,19,11,21,15,3,3,72,39,1
68,20,23,17,9,17,11,0,6,54,49,1
69,17,15,14,22,18,20,6,0,55,57,2
70,13,13,13,12,25,16,0,6,51,47,1
71,18,18,24,13,10,11,0,6,52,48,1
72,15,14,16,13,14,22,6,0,51,49,1
73,14,21,16,25,16,11,0,6,46,63,2
74,14,8,9,25,18,10,6,0,47,43,1
75,18,18,19,10,19,10,0,6,56,44,1
76,10,19,20,27,16,15,6,0,52,61,2
77,16,16,21,16,15,15,6,0,58,47,1
78,12,15,13,20,14,12,0,6,39,53,2
79,10,17,15,17,13,17,6,0,44,51,2
80,14,12,15,15,10,11,0,6,39,44,2
81,24,12,16,28,15,16,0,6,55,62,2
82,17,15,17,9,22,14,6,0,62,38,1
83,12,12,13,14,11,14,6,0,42,40,1
84,7,10,13,18,18,18,0,6,38,52,2
85,26,17,14,14,6,13,3,3,49,47,1
86,13,23,18,12,10,14,3,3,44,52,2
87,19,23,23,14,13,12,6,0,61,49,1
88,16,20,15,23,14,19,6,0,51,62,2
89,13,15,17,19,18,16,3,3,51,53,2
90,11,18,22,20,11,18,3,3,47,59,2
91,18,17,24,5,12,9,6,0,60,31,1
92,11,21,16,12,12,32,3,3,42,68,2
93,19,16,22,10,24,6,0,6,65,38,1
94,21,13,16,14,19,16,6,0,62,43,1
