game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
0,24,19,22,14,12,14,0,6,58,53,1
1,12,16,18,15,22,20,0,6,52,57,2
2,13,13,22,15,12,14,0,6,47,48,2
3,39,18,23,9,19,15,0,6,81,48,1
4,11,15,23,10,13,10,0,6,47,41,1
5,18,12,22,12,17,27,3,3,60,54,1
6,12,14,21,21,15,20,6,0,54,55,2
7,19,21,3,10,9,22,3,3,34,56,2
8,20,23,17,20,18,17,6,0,61,60,1
9,13,16,14,17,14,11,3,3,44,47,2
10,15,9,19,22,15,19,3,3,52,53,2
11,17,11,11,19,14,21,6,0,48,51,2
12,15,20,18,10,16,14,6,0,55,44,1
13,13,15,12,13,11,25,6,0,42,53,2
14,10,26,13,12,27,12,0,6,50,56,2
15,19,26,16,12,9,19,3,3,47,60,2
16,18,19,12,21,15,18,0,6,45,64,2
17,13,30,17,10,8,25,6,0,44,65,2
18,15,21,11,17,21,10,0,6,47,54,2
19,13,10,25,22,14,20,3,3,55,55,0
20,17,10,15,9,14,22,6,0,52,41,1
21,13,12,10,14,15,11,3,3,41,40,1
22,20,28,14,18,21,12,0,6,55,64,2
23,17,14,25,11,15,13,6,0,63,38,1
24,9,11,13,17,15,19,6,0,43,47,2
25,20,20,19,18,20,13,0,6,59,57,1
26,19,9,16,17,12,10,3,3,50,39,1
27,23,17,14,18,10,20,0,6,47,61,2
28,17,11,10,19,20,31,3,3,50,64,2
29,16,9,16,20,20,15,3,3,55,47,1
30,7,21,19,15,14,16,3,3,43,55,2
31,16,9,13,20,14,15,0,6,43,50,2
32,3,20,10,23,9,14,0,6,22,63,2
33,12,13,17,19,18,25,6,0,53,57,2
34,24,13,15,13,16,9,0,6,55,41,1
35,14,20,14,15,12,32,0,6,40,73,2
36,16,10,13,18,18,18,6,0,53,46,1
37,12,14,12,7,18,19,0,6,42,46,2
38,13,12,7,8,14,12,6,0,40,32,1
39,17,21,15,15,15,25,0,6,47,67,2
40,11,22,7,17,20,15,3,3,41,57,2
41,14,13,30,16,12,26,6,0,62,55,1
42,15,27,16,23,24,16,6,0,61,66,2
43,22,19,12,18,19,18,6,0,59,55,1
44,14,18,21,14,19,15,3,3,57,50,1
45,16,22,17,17,9,11,6,0,48,50,2
46,17,17,16,10,15,18,3,3,51,48,1
47,10,18,10,18,33,14,0,6,53,56,2
48,16,23,14,21,24,22,0,6,54,72,2
49,14,16,22,9,19,7,0,6,55,38,1
50,12,17,12,26,21,13,3,3,48,59,2
51,7,9,21,13,17,21,6,0,51,43,1
52,10,19,17,17,15,11,3,3,45,50,2
53,18,6,17,26,22,23,6,0,63,55,1
54,20,22,19,8,19,10,0,6,58,46,1
55,15,19,10,15,17,20,6,0,48,54,2
56,21,19,12,18,15,14,6,0,54,51,1
57,11,15,19,13,17,26,0,6,47,60,2
58,15,20,21,22,16,14,6,0,58,56,1
59,26,12,14,15,20,27,6,0,66,54,1
60,22,27,16,11,20,13,0,6,58,57,1
61,16,18,26,14,12,13,6,0,60,45,1
62,10,20,21,13,27,19,3,3,61,55,1
