game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
0,23,18,17,11,19,15,3,3,62,47,1
1,23,15,14,21,16,12,0,6,53,54,2
2,17,12,22,14,13,16,6,0,58,42,1
3,18,16,16,17,18,14,3,3,55,50,1
4,24,7,12,19,9,19,6,0,51,45,1
5,14,11,22,18,20,10,3,3,59,42,1
6,16,23,16,12,19,26,6,0,57,61,2
7,15,14,18,7,20,21,6,0,59,42,1
8,15,20,19,27,14,13,0,6,48,66,2
9,14,13,16,12,16,18,6,0,52,43,1
10,14,20,22,12,25,18,3,3,64,53,1
11,22,12,20,18,10,25,6,0,58,55,1
12,9,16,13,21,23,14,6,0,51,51,0
13,13,16,17,10,13,24,0,6,43,56,2
14,18,12,23,19,15,21,3,3,59,55,1
15,16,17,23,17,28,9,3,3,70,46,1
16,27,17,13,21,13,18,3,3,56,59,2
17,12,13,16,11,14,22,3,3,45,49,2
18,18,14,19,20,17,15,6,0,60,49,1
19,27,15,16,17,20,13,0,6,63,51,1
20,20,19,16,21,25,12,3,3,64,55,1
21,18,23,19,19,15,14,6,0,58,56,1
22,21,21,16,17,19,15,0,6,56,59,2
23,20,23,18,18,15,11,0,6,53,58,2
24,21,15,10,11,19,7,6,0,56,33,1
25,10,13,16,20,17,17,6,0,49,50,2
26,16,16,15,17,9,14,3,3,43,50,2
27,14,14,11,9,19,18,3,3,47,44,1
28,17,14,27,16,12,15,3,3,59,48,1
29,14,21,18,16,15,23,6,0,53,60,2
30,14,17,12,18,19,9,0,6,45,50,2
31,14,12,12,22,15,23,3,3,44,60,2
32,18,15,13,16,11,10,3,3,45,44,1
33,19,15,16,20,16,26,0,6,51,67,2
34,15,13,16,15,20,17,3,3,54,48,1
35,20,16,21,14,19,9,0,6,60,45,1
36,14,13,6,14,23,12,0,6,43,45,2
37,14,14,18,27,9,17,0,6,41,64,2
38,19,10,10,18,28,21,3,3,60,52,1
39,20,17,17,16,18,18,3,3,58,54,1
40,16,15,13,26,18,13,0,6,47,60,2
41,15,17,12,10,24,14,0,6,51,47,1
42,19,31,15,20,13,11,0,6,47,68,2
43,16,17,12,23,20,17,0,6,48,63,2
44,13,17,12,17,14,19,3,3,42,56,2
45,11,14,21,16,20,14,0,6,52,50,1
46,19,18,15,21,18,20,3,3,55,62,2
47,25,19,20,17,13,17,6,0,64,53,1
48,15,21,9,20,12,15,0,6,36,62,2
49,27,15,20,14,17,15,3,3,67,47,1
50,12,18,11,9,15,10,0,6,38,43,2
51,17,15,14,18,17,25,6,0,54,58,2
52,17,17,18,18,25,12,3,3,63,50,1
53,13,20,15,15,17,11,3,3,48,49,2
54,12,14,13,12,13,15,6,0,44,41,1
55,13,23,23,12,9,21,6,0,51,56,2
56,20,18,24,11,19,13,3,3,66,45,1
57,9,12,20,13,12,14,6,0,47,39,1
58,18,19,25,19,18,25,3,3,64,66,2
59,17,11,12,23,8,20,6,0,43,54,2
60,11,15,13,19,12,19,0,6,36,59,2
61,18,25,15,17,28,18,0,6,61,66,2
62,20,10,13,24,8,17,6,0,47,51,2
63,20,10,21,15,15,14,6,0,62,39,1
64,14,17,15,13,23,25,3,3,55,58,2
65,12,21,16,27,22,13,0,6,50,67,2
66,18,15,9,25,28,16,0,6,55,62,2
67,15,21,14,25,17,14,0,6,46,66,2
68,15,17,15,14,12,12,0,6,42,49,2
69,30,16,24,15,18,7,0,6,72,44,1
70,16,17,11,18,18,20,3,3,48,58,2
71,9,9,17,26,9,19,3,3,38,57,2
72,14,18,17,12,11,14,6,0,48,44,1
73,17,13,16,14,18,19,3,3,54,49,1
74,20,16,17,18,19,20,3,3,59,57,1
75,21,14,25,12,14,15,3,3,63,44,1
76,24,24,13,16,17,23,3,3,57,66,2
77,20,7,11,14,9,18,0,6,40,45,2
78,9,13,15,24,18,10,0,6,42,53,2
79,21,20,4,11,15,27,3,3,43,61,2
80,17,30,9,10,22,16,0,6,48,62,2
81,20,13,11,15,14,19,3,3,48,50,2
82,25,9,7,14,27,20,3,3,62,46,1
83,14,20,17,28,17,8,0,6,48,62,2
84,11,20,11,12,12,19,6,0,40,51,2
85,23,20,16,22,11,10,6,0,56,52,1
86,12,18,17,10,21,18,6,0,56,46,1
87,21,12,16,19,16,14,6,0,59,45,1
88,20,7,11,22,13,29,6,0,50,58,2
89,28,12,9,26,8,7,3,3,48,48,0
90,26,18,19,18,14,17,0,6,59,59,0
91,10,12,16,15,18,16,0,6,44,49,2
92,19,15,12,25,9,11,3,3,43,54,2
93,11,15,14,11,22,17,0,6,47,49,2
94,18,19,21,7,11,18,6,0,56,44,1
95,12,22,25,13,16,24,0,6,53,65,2
