game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
0,21,21,22,6,21,11,0,6,64,44,1
1,21,24,15,13,20,10,0,6,56,53,1
2,23,22,13,21,13,13,6,0,55,56,2
3,22,15,19,19,17,13,0,6,58,53,1
4,26,17,12,16,13,16,3,3,54,52,1
5,12,10,19,17,14,16,3,3,48,46,1
6,14,19,14,13,7,13,6,0,41,45,2
7,12,16,18,13,19,16,0,6,49,51,2
8,24,15,13,12,17,12,6,0,60,39,1
9,15,22,14,10,22,11,3,3,54,46,1
10,13,14,17,12,27,9,0,6,57,41,1
11,18,18,9,14,15,13,6,0,48,45,1
12,17,11,16,16,20,16,0,6,53,49,1
13,10,14,25,22,15,16,3,3,53,55,2
14,16,16,20,10,11,20,6,0,53,46,1
15,16,21,10,13,25,18,0,6,51,58,2
16,23,13,20,9,12,13,0,6,55,41,1
17,18,14,17,14,10,28,6,0,51,56,2
18,13,19,8,24,25,15,3,3,49,61,2
19,21,12,15,14,14,22,3,3,53,51,1
20,20,14,16,17,22,13,3,3,61,47,1
21,21,20,15,17,19,10,6,0,61,47,1
22,14,20,19,12,16,7,3,3,52,42,1
23,21,16,15,7,11,9,0,6,47,38,1
24,7,16,21,14,19,15,0,6,47,51,2
25,25,9,19,15,12,19,6,0,62,43,1
26,7,26,14,12,15,18,6,0,42,56,2
27,18,18,9,14,20,14,3,3,50,49,1
28,17,11,19,14,12,11,0,6,48,42,1
29,14,12,12,13,13,12,6,0,45,37,1
30,21,9,12,27,14,10,6,0,53,46,1
31,14,14,24,18,9,9,6,0,53,41,1
32,20,23,13,11,16,12,0,6,49,52,2
33,23,11,17,17,13,15,3,3,56,46,1
34,7,22,18,16,26,16,6,0,57,54,1
35,17,14,13,20,12,17,6,0,48,51,2
36,17,8,12,22,14,23,6,0,49,53,2
37,13,15,16,16,15,7,3,3,47,41,1
38,12,19,12,17,15,11,0,6,39,53,2
39,17,7,22,16,15,14,0,6,54,43,1
40,10,16,16,18,16,18,3,3,45,55,2
41,11,20,23,15,20,17,3,3,57,55,1
42,15,16,16,10,15,15,6,0,52,41,1
43,21,15,10,13,13,24,6,0,50,52,2
44,19,16,13,18,19,12,0,6,51,52,2
45,13,22,17,16,27,10,6,0,63,48,1
46,22,10,20,16,21,25,6,0,69,51,1
47,12,11,14,26,9,22,6,0,41,59,2
48,23,8,14,13,19,14,3,3,59,38,1
49,29,16,12,18,11,10,6,0,58,44,1
50,13,14,9,18,18,22,0,6,40,60,2
51,15,11,14,14,29,14,3,3,61,42,1
52,28,17,13,20,18,12,3,3,62,52,1
53,13,14,18,12,16,14,0,6,47,46,1
54,15,16,15,12,12,11,6,0,48,39,1
55,10,14,12,14,15,12,3,3,40,43,2
56,16,19,24,17,19,11,3,3,62,50,1
57,16,17,17,14,17,18,6,0,56,49,1
58,21,16,20,12,17,12,6,0,64,40,1
59,14,20,21,19,18,13,3,3,56,55,1
60,21,16,19,7,8,6,3,3,51,32,1
61,13,16,23,8,29,19,0,6,65,49,1
62,16,12,18,12,14,16,6,0,54,40,1
63,22,9,12,14,10,21,3,3,47,47,0
64,14,16,14,17,15,15,3,3,46,51,2
65,17,4,18,19,11,19,3,3,49,45,1
