"","Anime_Name","Start_Month","Start_Year","End_Month","End_Year","Anime_Rating","Anime_Type","Number_Episodes"
"69","Yojouhan Shinwa Taikei","Apr",2010,"Jul",2010,8.6,"TV ",11
"70","Natsume Yuujinchou Go","Oct",2016,"Dec",2016,8.59,"TV ",11
"71","Natsume Yuujinchou San","Jul",2011,"Sep",2011,8.59,"TV ",13
"72","Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly","Jan",2019,"Jan",2019,8.59,"Movie ",1
"73","Fate/Zero 2nd Season","Apr",2012,"Jun",2012,8.59,"TV ",12
"74","Hajime no Ippo: Rising","Oct",2013,"Mar",2014,8.59,"TV ",25
"75","Kimi no Suizou wo Tabetai","Sep",2018,"Sep",2018,8.59,"Movie ",1
"76","Bakuman. 3rd Season","Oct",2012,"Mar",2013,8.57,"TV ",25
"77","Mushishi: Hihamukage","Jan",2014,"Jan",2014,8.57,"Special ",1
"78","Tengen Toppa Gurren Lagann Movie 2: Lagann-hen","Apr",2009,"Apr",2009,8.57,"Movie ",1
"79","Yuru Camp△ Season 2","Jan",2021,"Apr",2021,8.57,"TV ",13
"80","One Punch Man","Oct",2015,"Dec",2015,8.56,"TV ",12
"81","Sora yori mo Tooi Basho","Jan",2018,"Mar",2018,8.56,"TV ",13
"82","Zoku Natsume Yuujinchou","Jan",2009,"Mar",2009,8.56,"TV ",13
"83","Haikyuu!!: To the Top 2nd Season","Oct",2020,"Dec",2020,8.56,"TV ",12
"84","Holo no Graffiti","May",2019,NA,NA,8.56,"ONA ",NA
"85","Kara no Kyoukai 5: Mujun Rasen","Aug",2008,"Aug",2008,8.56,"Movie ",1
"86","Fruits Basket 2nd Season","Apr",2020,"Sep",2020,8.54,"TV ",25
"87","Koukaku Kidoutai: Stand Alone Complex 2nd GIG","Jan",2004,"Jan",2005,8.54,"TV ",26
"88","Ansatsu Kyoushitsu 2nd Season","Jan",2016,"Jul",2016,8.53,"TV ",25
"89","Gintama.: Porori-hen","Oct",2017,"Dec",2017,8.53,"TV ",13
"90","Gintama: The Semi-Final","Jan",2021,"Jan",2021,8.53,"Special ",2
"91","One Piece","Oct",1999,NA,NA,8.53,"TV ",NA
"92","Neon Genesis Evangelion: The End of Evangelion","Jul",1997,"Jul",1997,8.52,"Movie ",1
"93","Slam Dunk","Oct",1993,"Mar",1996,8.52,"TV ",101
"94","Uchuu Kyoudai","Apr",2012,"Mar",2014,8.52,"TV ",99
"95","Aria the Origination","Jan",2008,"Apr",2008,8.52,"TV ",13
"96","Gintama Movie 1: Shinyaku Benizakura-hen","Apr",2010,"Apr",2010,8.52,"Movie ",1
"97","Chihayafuru 3","Oct",2019,"Mar",2020,8.51,"TV ",24
"98","Haikyuu!!","Apr",2014,"Sep",2014,8.51,"TV ",25
"99","Hotaru no Haka","Apr",1988,"Apr",1988,8.51,"Movie ",1
"100","Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu","Aug",2019,"Aug",2019,8.51,"Movie ",1
"101","Rainbow: Nisha Rokubou no Shichinin","Apr",2010,"Sep",2010,8.51,"TV ",26
"102","Steins;Gate 0","Apr",2018,"Sep",2018,8.51,"TV ",23
"103","Samurai Champloo","May",2004,"Mar",2005,8.5,"TV ",26
"104","Shingeki no Kyojin","Apr",2013,"Sep",2013,8.5,"TV ",25
"105","Tian Guan Ci Fu Special","Feb",2021,"Feb",2021,8.5,"ONA ",1
"106","JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai","Apr",2016,"Dec",2016,8.5,"TV ",39
"107","Kenpuu Denki Berserk","Oct",1997,"Apr",1998,8.49,"TV ",25
"108","Mo Dao Zu Shi","Jul",2018,"Oct",2018,8.49,"ONA ",15
"109","Perfect Blue","Feb",1998,"Feb",1998,8.49,"Movie ",1
"110","Steins;Gate Movie: Fuka Ryouiki no Déjà vu","Apr",2013,"Apr",2013,8.49,"Movie ",1
"111","Zoku Owarimonogatari","Nov",2018,"Nov",2018,8.49,"Movie ",6
"112","Banana Fish","Jul",2018,"Dec",2018,8.48,"TV ",24
"113","Mob Psycho 100","Jul",2016,"Sep",2016,8.48,"TV ",12
"114","Nichijou","Apr",2011,"Sep",2011,8.47,"TV ",26
"115","Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season","Jul",2020,"Sep",2020,8.47,"TV ",13
"116","Saenai Heroine no Sodatekata Fine","Oct",2019,"Oct",2019,8.47,"Movie ",1
"117","Shingeki no Kyojin Season 2","Apr",2017,"Jun",2017,8.47,"TV ",12
"118","Nana","Apr",2006,"Mar",2007,8.46,"TV ",47
"119","Owarimonogatari","Oct",2015,"Dec",2015,8.46,"TV ",12
"120","Saiki Kusuo no Ψ-nan 2","Jan",2018,"Jun",2018,8.46,"TV ",24
"121","Golden Kamuy 3rd Season","Oct",2020,"Dec",2020,8.46,"TV ",12
"122","Mushishi Zoku Shou: Odoro no Michi","Aug",2014,"Aug",2014,8.46,"Special ",1
"123","Gotcha!","Sep",2020,"Sep",2020,8.45,"Music ",1
"124","Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari","Oct",2013,"Oct",2013,8.45,"Movie ",1
"125","Yuu☆Yuu☆Hakusho","Oct",1992,"Jan",1995,8.45,"TV ",112
"126","Saiki Kusuo no Ψ-nan","Jul",2016,"Dec",2016,8.44,"TV ",120
"127","Sayonara no Asa ni Yakusoku no Hana wo Kazarou","Feb",2018,"Feb",2018,8.44,"Movie ",1
"128","Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan","Jul",2020,"Sep",2020,8.44,"TV ",12
"129","Gintama: Yorinuki Gintama-san on Theater 2D","Aug",2012,"Aug",2012,8.44,"Movie ",2
