"","Anime_Name","Start_Month","Start_Year","End_Month","End_Year","Anime_Rating","Anime_Type","Number_Episodes"
"1662","Omoide Poroporo","Jul",1991,"Jul",1991,7.47,"Movie ",1
"1663","Ongaku","Jan",2020,"Jan",2020,7.47,"Movie ",1
"1664","Oushitsu Kyoushi Heine","Apr",2017,"Jun",2017,7.47,"TV ",12
"1665","Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu☆Nijiiro no Hana","Mar",2011,"Mar",2011,7.47,"Movie ",1
"1666","Senyuu. 2","Jul",2013,"Sep",2013,7.47,"TV ",13
"1667","Shokugeki no Souma: San no Sara - Kyokuseiryou no Erina","May",2018,"May",2018,7.47,"OVA ",1
"1668","Tegamibachi: Hikari to Ao no Gensou Yawa","Nov",2008,"Nov",2008,7.47,"Special ",1
"1669","Tennis no Ouji-sama Movie 2: Eikokushiki Teikyuu Shiro Kessen!","Sep",2011,"Sep",2011,7.47,"Movie ",1
"1670","Tenshi na Konamaiki","Apr",2002,"Mar",2003,7.47,"TV ",50
"1671","The iDOLM@STER: 765 Pro to Iu Monogatari","Jun",2012,"Jun",2012,7.47,"Special ",1
"1672","Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato Desu kara","Sep",2010,"Sep",2010,7.47,"OVA ",1
"1673","Tonari no Seki-kun Specials","May",2014,"May",2014,7.47,"Special ",2
"1674","Yawara!","Oct",1989,"Sep",1992,7.47,"TV ",124
"1675","Zero no Tsukaima: Futatsuki no Kishi","Jul",2007,"Sep",2007,7.47,"TV ",12
"1676","Aishiteruze Baby★★","Apr",2004,"Oct",2004,7.47,"TV ",26
"1677","Ajin","Jan",2016,"Apr",2016,7.47,"TV ",13
"1678","Baki: Dai Raitaisai-hen","Jun",2020,"Jun",2020,7.47,"ONA ",13
"1679","CLAMP in Wonderland 2","Oct",2007,"Oct",2007,7.47,"Music ",1
"1680","Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen","Jul",2016,"Sep",2016,7.47,"TV ",11
"1681","Darker than Black: Ryuusei no Gemini","Oct",2009,"Dec",2009,7.47,"TV ",12
"1682","Detective Conan Movie 11: Jolly Roger in the Deep Azure","Apr",2007,"Apr",2007,7.47,"Movie ",1
"1683","Digimon Adventure tri. 1: Saikai","Nov",2015,"Nov",2015,7.47,"Movie ",1
"1684","Hakuouki Reimeiroku","Jul",2012,"Sep",2012,7.47,"TV ",12
"1685","Hal","Jun",2013,"Jun",2013,7.47,"Movie ",1
"1686","Hibike! Euphonium: Kakedasu Monaka","Dec",2015,"Dec",2015,7.47,"Special ",1
"1687","Hokuto no Ken Zero: Kenshirou Den","Oct",2008,"Oct",2008,7.47,"Movie ",1
"1688","Hokuto no Ken: Raoh Gaiden Junai-hen","Mar",2006,"Mar",2006,7.47,"Movie ",1
"1689","Huyao Xiao Hongniang: Zhu Ye","Mar",2019,"May",2019,7.47,"ONA ",12
"1690","Junjou Romantica Special",NA,2008,NA,2008,7.47,"Special ",1
"1691","Kingsglaive: Final Fantasy XV","Jul",2016,"Jul",2016,7.47,"Movie ",1
"1692","Kiniro no Corda: Primo Passo","Oct",2006,"Mar",2007,7.47,"TV ",25
"1693","Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain","Jun",2013,"Jun",2013,7.47,"Movie ",1
"1694","Koukaku Kidoutai: Shin Movie","Jun",2015,"Jun",2015,7.47,"Movie ",1
"1695","Koutetsujou no Kabaneri Movie 2: Moeru Inochi","Jan",2017,"Jan",2017,7.47,"Movie ",1
"1696","Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo","Jun",2017,"Jun",2017,7.47,"Movie ",1
"1697","Major 2nd (TV)","Apr",2018,"Sep",2018,7.47,"TV ",25
"1698","Mardock Scramble: The First Compression","Oct",2010,"Oct",2010,7.47,"Movie ",1
"1699","Ani ni Tsukeru Kusuri wa Nai!","Apr",2017,"Jun",2017,7.46,"TV ",12
"1700","Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars","Sep",2014,"Sep",2014,7.46,"Special ",1
"1701","Deca-Dence","Jul",2020,"Sep",2020,7.46,"TV ",12
"1702","Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III","Oct",2020,"Dec",2020,7.46,"TV ",12
"1703","Gallery Fake","Jan",2005,"Sep",2005,7.46,"TV ",37
"1704","Genshiken Nidaime","Jul",2013,"Sep",2013,7.46,"TV ",13
"1705","Gokudou-kun Manyuuki","Apr",1999,"Sep",1999,7.46,"TV ",26
"1706","Kemono Jihen","Jan",2021,"Mar",2021,7.46,"TV ",12
"1707","Kengan Ashura","Jul",2019,"Jul",2019,7.46,"ONA ",12
"1708","Kiniro no Corda: Primo Passo - Hitonatsu no Encore","Mar",2007,"Mar",2007,7.46,"Special ",1
"1709","Kishuku Gakkou no Juliet","Oct",2018,"Dec",2018,7.46,"TV ",12
"1710","Kuroshitsuji II Specials","Oct",2010,"May",2011,7.46,"Special ",6
"1711","Kyou kara Maou! R","Oct",2007,"Mar",2008,7.46,"OVA ",5
"1712","Love Stage!!: Chotto ja Nakutte","Nov",2014,"Nov",2014,7.46,"OVA ",1
"1713","Magic Knight Rayearth","Oct",1994,"Mar",1995,7.46,"TV ",20
"1714","Otome Youkai Zakuro","Oct",2010,"Dec",2010,7.46,"TV ",13
"1715","Pokemon Generations","Dec",2016,"Feb",2017,7.46,"ONA ",18
"1716","Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Picture Drama","Dec",2018,"May",2019,7.46,"Special ",5
"1717","Senki Zesshou Symphogear G","Jul",2013,"Sep",2013,7.46,"TV ",13
"1718","Shingeki no Bahamut: Virgin Soul","Apr",2017,"Sep",2017,7.46,"TV ",24
"1719","Taiho Shichau zo","Sep",1994,"Nov",1995,7.46,"OVA ",4
"1720","Tales of Symphonia The Animation: Sekai Tougou-hen","Nov",2011,"Oct",2012,7.46,"OVA ",3
"1721","Tensei shitara Slime Datta Ken OVA","Jul",2019,"Nov",2020,7.46,"OVA ",5
"1722","Urusei Yatsura Movie 5: Kanketsu-hen","Feb",1988,"Feb",1988,7.46,"Movie ",1
"1723","Yu☆Gi☆Oh! Duel Monsters","Apr",2000,"Sep",2004,7.46,"TV ",224
"1724","Yu☆Gi☆Oh! The Dark Side of Dimensions","Apr",2016,"Apr",2016,7.46,"Movie ",1
"1725","Naruto: Shippuuden - Sunny Side Battle","Oct",2013,"Oct",2013,7.45,"Special ",1
"1726","Naruto: Shippuuden Movie 5 - Blood Prison","Jul",2011,"Jul",2011,7.45,"Movie ",1
"1727","Neon Genesis Evangelion: Death & Rebirth","Mar",1997,"Mar",1997,7.45,"Movie ",1
"1728","Noblesse: Awakening","Feb",2016,"Feb",2016,7.45,"ONA ",1
"1729","Oda Nobuna no Yabou","Jul",2012,"Sep",2012,7.45,"TV ",12
"1730","Oshi ga Budoukan Ittekuretara Shinu","Jan",2020,"Mar",2020,7.45,"TV ",12
"1731","Paniponi Dash!","Jul",2005,"Dec",2005,7.45,"TV ",26
"1732","Prison School: Mad Wax","Mar",2016,"Mar",2016,7.45,"OVA ",1
"1733","Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu","Aug",2008,"Aug",2008,7.45,"Special ",1
"1734","Shinreigari","Oct",2007,"Apr",2008,7.45,"TV ",22
"1735","Shinryaku! Ika Musume","Oct",2010,"Dec",2010,7.45,"TV ",12
"1736","Simoun","Apr",2006,"Sep",2006,7.45,"TV ",26
"1737","Tetsuwan Birdy Decode","Jul",2008,"Sep",2008,7.45,"TV ",13
"1738","Toradora!: Bentou no Gokui","Dec",2011,"Dec",2011,7.45,"Special ",1
"1739","Uchuu no Kishi Tekkaman Blade","Feb",1992,"Feb",1993,7.45,"TV ",49
"1740","Wangan Midnight","Jun",2007,"Sep",2008,7.45,"TV ",26
"1741","Yamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-sai","Dec",2014,"May",2015,7.45,"OVA ",2
"1742","Bai She: Yuan Qi","Jan",2019,"Jan",2019,7.45,"Movie ",1
"1743","Bakuten!!","Apr",2021,NA,NA,7.46,"TV ",12
"1744","Bleach Movie 1: Memories of Nobody","Dec",2006,"Dec",2006,7.45,"Movie ",1
"1745","Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru","Dec",2007,"Dec",2007,7.45,"Movie ",1
"1746","Brave Story","Jul",2006,"Jul",2006,7.45,"Movie ",1
"1747","Chio-chan no Tsuugakuro","Jul",2018,"Sep",2018,7.45,"TV ",12
"1748","Doraemon Movie 26: Nobita no Kyouryuu 2006","Mar",2006,"Mar",2006,7.45,"Movie ",1
"1749","Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day","Oct",2015,"Oct",2015,7.45,"Special ",1
"1750","Freedom","Nov",2006,"May",2008,7.45,"OVA ",7
"1751","Gantz:O","Oct",2016,"Oct",2016,7.45,"Movie ",1
"1752","Goblin Slayer","Oct",2018,"Dec",2018,7.45,"TV ",12
"1753","Grappler Baki: Saidai Tournament-hen","Jul",2001,"Dec",2001,7.45,"TV ",24
"1754","Hidamari Sketch","Jan",2007,"Mar",2007,7.45,"TV ",12
"1755","Huyao Xiao Hongniang: Nan Guo","Nov",2017,"Jun",2018,7.45,"ONA ",26
"1756","Imawa no Kuni no Alice (OVA)","Oct",2014,"Feb",2015,7.45,"OVA ",3
"1757","Inu x Boku SS","Jan",2012,"Mar",2012,7.45,"TV ",12
"1758","Kamikaze Kaitou Jeanne","Feb",1999,"Jan",2000,7.45,"TV ",44
"1759","Koukaku Kidoutai Arise: Ghost in the Shell - Border:4 Ghost Stands Alone","Sep",2014,"Sep",2014,7.45,"Movie ",1
"1760","Level E","Jan",2011,"Apr",2011,7.45,"TV ",13
"1761","Ling Long: Incarnation Part 2","Jul",2020,"Oct",2020,7.45,"ONA ",6
"1762","Mahou Sensei Negima!: Shiroki Tsubasa Ala Alba","Aug",2008,"Feb",2009,7.45,"OVA ",3
"1763","Mahou Shoujo Lyrical Nanoha: Reflection","Jul",2017,"Jul",2017,7.45,"Movie ",1
"1764","Mai-HiME","Sep",2004,"Mar",2005,7.45,"TV ",26
"1765","Mardock Scramble: The Third Exhaust","Sep",2012,"Sep",2012,7.45,"Movie ",1
"1766","Medaka Box Abnormal","Oct",2012,"Dec",2012,7.45,"TV ",12
"1767","Mobile Suit Gundam Wing: Operation Meteor","Apr",1996,"Oct",1996,7.45,"OVA ",4
"1768","Ansatsu Kyoushitsu: Deai no Jikan","Nov",2014,"Nov",2014,7.44,"Special ",1
"1769","Aoki Hagane no Arpeggio: Ars Nova DC","Jan",2015,"Jan",2015,7.44,"Movie ",1
"1770","Ayakashi: Japanese Classic Horror","Jan",2006,"Mar",2006,7.44,"TV ",11
"1771","Cowboy Bebop: Yose Atsume Blues","Jun",1998,"Jun",1998,7.44,"Special ",1
"1772","Detective Conan Magic File 3: Shinichi and Ran - Memories of Mahjong Tiles and Tanabata","Apr",2009,"Apr",2009,7.44,"OVA ",1
"1773","Doupo Cangqiong Specials","Sep",2017,"Oct",2017,7.44,"ONA ",2
"1774","Grappler Baki (TV)","Jan",2001,"Jun",2001,7.44,"TV ",24
"1775","Hakuouki OVA","Mar",2011,"Mar",2011,7.44,"OVA ",2
"1776","High School DxD BorN","Apr",2015,"Jun",2015,7.44,"TV ",12
"1777","Hime-chan no Ribbon","Oct",1992,"Dec",1993,7.44,"TV ",61
"1778","Isekai Quartet","Apr",2019,"Jun",2019,7.44,"TV ",12
"1779","K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni","Oct",2018,"Oct",2018,7.44,"Movie ",1
"1780","Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!","Mar",2008,"Mar",2008,7.44,"Movie ",1
"1781","Lilac","Jun",2018,"Jun",2018,7.44,"Music ",1
"1782","Majokko Shimai no Yoyo to Nene","Dec",2013,"Dec",2013,7.44,"Movie ",1
"1783","Orange: Mirai","Nov",2016,"Nov",2016,7.44,"Movie ",1
"1784","Pokemon Black and White 2: Introduction Movie","May",2012,"May",2012,7.44,"ONA ",1
"1785","Ruru-chan no Jisatsu Haishin","Jan",2020,"Jan",2020,7.44,"Music ",1
"1786","Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu","Jan",2008,"Jan",2008,7.44,"Special ",1
"1787","Soredemo Machi wa Mawatteiru","Oct",2010,"Dec",2010,7.44,"TV ",12
"1788","Sugar Sugar Rune","Jul",2005,"Jun",2006,7.44,"TV ",51
"1789","Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, Nanode","Jun",2014,"Jun",2014,7.44,"Special ",1
"1790","Tenchi Muyou!","Apr",1995,"Sep",1995,7.44,"TV ",26
"1791","WWW.Working!!","Oct",2016,"Dec",2016,7.44,"TV ",13
"1792","Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering","Apr",2005,"Jun",2005,7.44,"TV ",12
"1793","Pokemon XY: Mega Evolution","Apr",2014,"Oct",2015,7.43,"Special ",4
"1794","PriPara","Jul",2014,"Mar",2017,7.43,"TV ",140
"1795","Rozen Maiden","Oct",2004,"Dec",2004,7.43,"TV ",12
"1796","Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru","Oct",2015,"Dec",2015,7.43,"TV ",12
"1797","Seto no Hanayome OVA Specials","Nov",2008,"Jan",2009,7.43,"Special ",2
"1798","Shin Kimagure Orange☆Road: Soshite, Ano Natsu no Hajimari","Nov",1996,"Nov",1996,7.43,"Movie ",1
"1799","Tenchi Muyou! in Love","Apr",1996,"Apr",1996,7.43,"Movie ",1
"1800","Tiger & Bunny Movie 1: The Beginning","Sep",2012,"Sep",2012,7.43,"Movie ",1
"1801","Top wo Nerae! & Top wo Nerae 2! Gattai Movie!!","Oct",2006,"Oct",2006,7.43,"Movie ",2
"1802","X","Oct",2001,"Mar",2002,7.43,"TV ",24
"1803","Yoake Tsugeru Lu no Uta","May",2017,"May",2017,7.43,"Movie ",1
"1804","Aldnoah.Zero","Jul",2014,"Sep",2014,7.43,"TV ",12
"1805","Amagami SS+ Plus","Jan",2012,"Mar",2012,7.43,"TV ",13
"1806","BNA","Apr",2020,"May",2020,7.43,"ONA ",12
"1807","Boku no Hero Academia the Movie: Futari no Hero Specials","Feb",2019,"Feb",2019,7.43,"Special ",2
"1808","Chobits","Apr",2002,"Sep",2002,7.43,"TV ",26
"1809","Chou Denji Machine Voltes V","Jun",1977,"Mar",1978,7.43,"TV ",40
"1810","City Hunter Movie: Shinjuku Private Eyes","Feb",2019,"Feb",2019,7.43,"Movie ",1
"1811","City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo","Apr",1999,"Apr",1999,7.43,"Special ",1
"1812","City Hunter: The Secret Service","Jan",1996,"Jan",1996,7.43,"Special ",1
"1813","Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya","Feb",2019,"Feb",2019,7.43,"Movie ",1
"1814","Hakkenden: Touhou Hakken Ibun","Jan",2013,"Mar",2013,7.43,"TV ",13
"1815","High School DxD BorN: Yomigaeranai Fushichou","Dec",2015,"Dec",2015,7.43,"OVA ",1
"1816","Higurashi no Naku Koro ni Rei","Feb",2009,"Aug",2009,7.43,"OVA ",5
"1817","Ikoku Meiro no Croisée The Animation","Jul",2011,"Sep",2011,7.43,"TV ",12
"1818","Kimagure Orange☆Road OVA","Mar",1989,"Apr",1991,7.43,"OVA ",8
"1819","Koi ni Naritai Aquarium","Apr",2016,"Apr",2016,7.43,"Music ",1
"1820","Love Live! School Idol Project","Jan",2013,"Mar",2013,7.43,"TV ",13
"1821","Mikakunin de Shinkoukei","Jan",2014,"Mar",2014,7.43,"TV ",12
"1822","Mitsuboshi Colors","Jan",2018,"Mar",2018,7.43,"TV ",12
"1823","Mobile Suit Gundam SEED: SEED Supernova - Tanekyara Gekijou","Jun",2007,"Jun",2007,7.43,"Special ",4
"1824","City Hunter: Ai to Shukumei no Magnum","Jun",1989,"Jun",1989,7.42,"Movie ",1
"1825","Detective Conan: Black History 2","Dec",2007,"Dec",2007,7.42,"Special ",1
"1826","Fukigen na Mononokean","Jun",2016,"Sep",2016,7.42,"TV ",13
"1827","Joshiraku OVA","Feb",2013,"Feb",2013,7.42,"OVA ",1
"1828","Kiznaiver","Apr",2016,"Jun",2016,7.42,"TV ",12
"1829","Kore wa Zombie Desu ka?","Jan",2011,"Mar",2011,7.42,"TV ",12
"1830","Mahou Shoujo Lyrical Nanoha","Oct",2004,"Dec",2004,7.42,"TV ",13
"1831","Minami-ke Omatase","Oct",2012,"Oct",2012,7.42,"OVA ",1
"1832","Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future","Dec",2005,"Dec",2005,7.42,"OVA ",1
"1833","Osomatsu-san Special","Jan",2016,"Jan",2016,7.42,"Special ",1
"1834","Psycho-Pass 2","Oct",2014,"Dec",2014,7.42,"TV ",11
"1835","Quanzhi Fashi III","Oct",2018,"Dec",2018,7.42,"ONA ",12
"1836","RahXephon","Jan",2002,"Sep",2002,7.42,"TV ",26
"1837","Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!","Aug",1992,"Aug",1992,7.42,"Movie ",1
"1838","Ryuu no Haisha","Feb",2017,"Feb",2017,7.42,"Special ",2
"1839","Saki Zenkoku-hen","Jan",2014,"Apr",2014,7.42,"TV ",13
"1840","Senki Zesshou Symphogear GX","Jul",2015,"Sep",2015,7.42,"TV ",13
"1841","Shugo Chara!! Doki","Oct",2008,"Sep",2009,7.42,"TV ",51
"1842","Sora no Otoshimono: Project Pink","Sep",2010,"Sep",2010,7.42,"OVA ",1
"1843","Sunabouzu","Oct",2004,"Mar",2005,7.42,"TV ",24
"1844","Sword Art Online: Alicization - War of Underworld 2nd Season","Jul",2020,"Sep",2020,7.42,"TV ",11
"1845","Toaru Majutsu no Index","Oct",2008,"Mar",2009,7.42,"TV ",24
"1846","Uchuu Senkan Yamato 2","Oct",1978,"Apr",1979,7.42,"TV ",26
"1847","Vandread: The Second Stage","Oct",2001,"Jan",2002,7.42,"TV ",13
"1848","Yao Shen Ji","May",2017,"Sep",2017,7.42,"ONA ",40
"1849","Yi Nian Yong Heng","Aug",2020,NA,NA,7.42,"ONA ",52
"1850","Yomigaeru Sora: Rescue Wings","Jan",2006,"Mar",2006,7.42,"TV ",12
"1851","Naruto: Shippuuden Movie 4 - The Lost Tower","Jul",2010,"Jul",2010,7.41,"Movie ",1
"1852","New Game!: Watashi, Shain Ryokou tte Hajimete nano de...","May",2017,"May",2017,7.41,"OVA ",1
"1853","One Punch Man 2nd Season","Apr",2019,"Jul",2019,7.41,"TV ",12
"1854","Ookiku Furikabutte: Natsu no Taikai-hen – Mokuhyou","Dec",2010,"Dec",2010,7.41,"Special ",1
"1855","Otona Joshi no Anime Time","Jan",2011,"Mar",2013,7.41,"Special ",4
"1856","Puchi Pri*Yucie","Sep",2002,"Mar",2003,7.41,"TV ",26
"1857","Saiyuuki Reload","Oct",2003,"Mar",2004,7.41,"TV ",25
"1858","Saiyuuki Reload Gunlock","Apr",2004,"Sep",2004,7.41,"TV ",26
"1859","Scrapped Princess","Apr",2003,"Oct",2003,7.41,"TV ",24
"1860","Shingeki no Kyojin Season 3 Specials","Oct",2018,"Sep",2019,7.41,"Special ",7
"1861","Shugo Chara!","Oct",2007,"Sep",2008,7.41,"TV ",51
"1862","Slayers Evolution-R","Jan",2009,"Apr",2009,7.41,"TV ",13
"1863","Steins;Gate: Soumei Eichi no Cognitive Computing","Oct",2014,"Nov",2014,7.41,"ONA ",4
"1864","Super GALS! Kotobuki Ran","Apr",2001,"Mar",2002,7.41,"TV ",52
"1865","Taiho Shichau zo: Second Season","Apr",2001,"Sep",2001,7.41,"TV ",26
"1866","Tanaka-kun wa Itsumo Kedaruge Specials","Jun",2016,"Dec",2016,7.41,"Special ",7
"1867","Tonari no Seki-kun OVA","Jan",2014,"Jan",2014,7.41,"OVA ",1
"1868","Wei, Kanjian Erduo La! 2","Feb",2019,"Apr",2019,7.41,"ONA ",12
"1869","Wu Dong Qian Kun","Jan",2019,"Apr",2019,7.41,"ONA ",12
"1870","Yowamushi Pedal: Re:ROAD","Jun",2015,"Jun",2015,7.41,"Movie ",1
"1871","Yozakura Quartet: Hoshi no Umi","Oct",2010,"Nov",2011,7.41,"OVA ",3
"1872","Yu☆Gi☆Oh! 5D's","Apr",2008,"Mar",2011,7.41,"TV ",154
"1873","Yuu☆Yuu☆Hakusho: Two Shots/Noru ka Soru ka","Oct",2018,"Oct",2018,7.41,"Special ",2
"1874","Ai no Wakakusa Monogatari","Jan",1987,"Dec",1987,7.41,"TV ",48
"1875","Aikatsu! Movie","Dec",2014,"Dec",2014,7.41,"Movie ",1
"1876","Ao no Exorcist: Kyoto Fujouou-hen","Jan",2017,"Mar",2017,7.41,"TV ",12
"1877","Captain Tsubasa (2018)","Apr",2018,"Apr",2019,7.41,"TV ",52
"1878","Comic Girls","Apr",2018,"Jun",2018,7.41,"TV ",12
"1879","Detective Conan OVA 06: Follow the Vanished Diamond! Conan & Heiji vs. Kid!","Mar",2006,"Mar",2006,7.41,"OVA ",1
"1880","Dragon Ball Super","Jul",2015,"Mar",2018,7.41,"TV ",131
"1881","Fate/Grand Order","Dec",2014,NA,NA,7.41,"Special ",NA
"1882","Full Metal Panic! The Second Raid Episode 00","Jul",2005,"Jul",2005,7.41,"Special ",1
"1883","Gokusen","Jan",2004,"Mar",2004,7.41,"TV ",13
"1884","Gunslinger Girl","Oct",2003,"Feb",2004,7.41,"TV ",13
"1885","Initial D Extra Stage 2","Oct",2008,"Oct",2008,7.41,"OVA ",1
"1886","Jashin-chan Dropkick'","Apr",2020,"Apr",2020,7.41,"ONA ",11
"1887","Karas","Mar",2005,"Oct",2007,7.41,"OVA ",6
"1888","Kore wa Zombie Desu ka? OVA","Jun",2011,"Apr",2012,7.41,"OVA ",2
"1889","Majimoji Rurumo: Kanketsu-hen","Jul",2019,"Jul",2019,7.41,"OVA ",2
"1890","Mi Yu Xing Zhe","Feb",2018,"Apr",2018,7.41,"ONA ",12
"1891","Miira no Kaikata","Jan",2018,"Mar",2018,7.41,"TV ",12
"1892","""Bungaku Shoujo"" Movie","May",2010,"May",2010,7.4,"Movie ",1
"1893","Aoki Densetsu Shoot!","Nov",1993,"Dec",1994,7.4,"TV ",58
"1894","Baby I Love You Daze","Dec",2018,"Dec",2018,7.4,"ONA ",1
"1895","Captain Tsubasa: Road to 2002","Oct",2001,"Oct",2002,7.4,"TV ",52
"1896","Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita","Jul",2012,"Jul",2012,7.4,"Movie ",1
"1897","Cross Ange: Tenshi to Ryuu no Rondo","Oct",2014,"Mar",2015,7.4,"TV ",25
"1898","Dragon Ball Z Movie 14: Kami to Kami","Mar",2013,"Mar",2013,7.4,"Movie ",1
"1899","Fate/stay night Movie: Unlimited Blade Works","Jan",2010,"Jan",2010,7.4,"Movie ",1
"1900","Fuyu no Sonata","Oct",2009,"May",2010,7.4,"TV ",26
"1901","Gangsta.","Jul",2015,"Sep",2015,7.4,"TV ",12
"1902","Garo: Honoo no Kokuin","Oct",2014,"Mar",2015,7.4,"TV ",24
"1903","Hakata Tonkotsu Ramens","Jan",2018,"Mar",2018,7.4,"TV ",12
"1904","Hakuouki","Apr",2010,"Jun",2010,7.4,"TV ",12
"1905","Hitori no Shita: The Outcast 2nd Season","Oct",2017,"May",2018,7.4,"ONA ",24
"1906","Kekkai Sensen: Ousama no Restaurant no Ousama","Jun",2016,"Jun",2016,7.4,"OVA ",1
"1907","Kono Danshi, Ningyo Hiroimashita.","Nov",2012,"Nov",2012,7.4,"OVA ",1
"1908","Lodoss-tou Senki","Jun",1990,"Nov",1991,7.4,"OVA ",13
"1909","Naruto x UT","Jan",2011,"Jan",2011,7.4,"OVA ",1
"1910","Net-juu no Susume Special","Dec",2017,"Dec",2017,7.4,"Special ",1
"1911","Nichijou: Nichijou no 0-wa","Mar",2011,"Mar",2011,7.4,"OVA ",1
"1912","Nisekoi OVA","Oct",2014,"Apr",2015,7.4,"OVA ",3
"1913","Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials","Feb",2011,"May",2011,7.4,"ONA ",4
"1914","Oruchuban Ebichu","Aug",1999,"Oct",1999,7.4,"TV ",24
"1915","Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow - Manner Movie","Oct",2018,"Oct",2018,7.4,"Movie ",1
"1916","Sakura Quest","Apr",2017,"Sep",2017,7.4,"TV ",25
"1917","Senryuu Shoujo","Apr",2019,"Jun",2019,7.4,"TV ",12
"1918","Shaman King (2021)","Apr",2021,NA,NA,7.4,"TV ",52
"1919","Shigurui","Jul",2007,"Oct",2007,7.4,"TV ",12
"1920","Soukyuu no Fafner: Right of Left - Single Program","Dec",2005,"Dec",2005,7.4,"Special ",1
"1921","Tales of Zestiria: Doushi no Yoake","Dec",2014,"Dec",2014,7.4,"Special ",1
"1922","Tamayura: Hitotose - Attakai Kaze no Omoide, Nanode","Jun",2012,"Jun",2012,7.4,"Special ",1
"1923","Waga Seishun no Arcadia: Mugen Kidou SSX","Oct",1982,"Mar",1983,7.4,"TV ",22
"1924","Nanatsu no Umi no Tico","Jan",1994,"Dec",1994,7.39,"TV ",39
"1925","Nihon Animator Mihonichi","Nov",2014,"Oct",2015,7.39,"ONA ",35
"1926","Nodame Cantabile: Nodame to Chiaki no Umi Monogatari","Feb",2008,"Feb",2008,7.39,"Special ",1
"1927","Piano no Mori (TV) 2nd Season","Jan",2019,"Apr",2019,7.39,"TV ",12
"1928","Poputepipikku TV Special","Apr",2019,"Apr",2019,7.39,"Special ",2
"1929","Re:␣Hamatora","Jul",2014,"Sep",2014,7.39,"TV ",12
"1930","Sakasama no Patema: Beginning of the Day","Feb",2012,"Aug",2012,7.39,"Special ",4
"1931","Sketchbook: Full Color's","Oct",2007,"Dec",2007,7.39,"TV ",13
"1932","Sweat Punch","Mar",2002,"Jul",2006,7.39,"OVA ",5
"1933","Tennis no Ouji-sama: Sonzoku Yama no Hi",NA,2003,NA,2003,7.39,"OVA ",1
"1934","Trinity Seven: Nanatsu no Taizai to Nana Madoushi","Mar",2015,"Mar",2015,7.39,"OVA ",1
"1935","Umi no Yuurei","May",2019,"May",2019,7.39,"Music ",1
"1936","Un-Go","Oct",2011,"Dec",2011,7.39,"TV ",11
"1937","Aoki Hagane no Arpeggio: Ars Nova","Oct",2013,"Dec",2013,7.39,"TV ",12
"1938","Cross Road","Feb",2014,"Feb",2014,7.39,"Special ",1
"1939","Detective Conan OVA 11: A Secret Order from London","May",2011,"May",2011,7.39,"OVA ",1
"1940","Donten ni Warau Gaiden: Ketsubetsu, Yamainu no Chikai","Dec",2017,"Dec",2017,7.39,"Movie ",1
"1941","Fairy Tail Movie 1: Houou no Miko","Aug",2012,"Aug",2012,7.39,"Movie ",1
"1942","Future GPX Cyber Formula Zero","Apr",1994,"Feb",1995,7.39,"OVA ",8
"1943","Gatchaman Crowds: Embrace","Jan",2014,"Jan",2014,7.39,"Special ",1
"1944","Haha wo Tazunete Sanzenri","Jan",1976,"Dec",1976,7.39,"TV ",52
"1945","Handa-kun","Jul",2016,"Sep",2016,7.39,"TV ",12
"1946","Higashi no Eden: Falling Down","May",2009,"May",2009,7.39,"Music ",1
"1947","Hikaru no Go: Sabaki no Ikkyoku! Inishie no Hana yo Sake!!",NA,2002,NA,2002,7.39,"OVA ",1
"1948","Hitorijime My Hero","Jul",2017,"Sep",2017,7.39,"TV ",12
"1949","Hokuto no Ken: Toki-den","Mar",2008,"Mar",2008,7.39,"OVA ",1
"1950","Houkago Teibou Nisshi","Apr",2020,"Sep",2020,7.39,"TV ",12
