1,"[[-2.2], [-0.40000000000000013]]","[[6.601887280017819], [-5.368601247493873]]",0.05,9.352000000000004,14.352000000000004
79,"[[nan], [nan]]","[[nan], [nan]]",5.902958103587057e+19,nan,nan
80,"[[nan], [nan]]","[[nan], [nan]]",1.1805916207174114e+20,nan,nan
81,"[[nan], [nan]]","[[nan], [nan]]",2.3611832414348227e+20,nan,nan
82,"[[nan], [nan]]","[[nan], [nan]]",4.7223664828696455e+20,nan,nan
83,"[[nan], [nan]]","[[nan], [nan]]",9.444732965739291e+20,nan,nan
84,"[[nan], [nan]]","[[nan], [nan]]",1.8889465931478582e+21,nan,nan
85,"[[nan], [nan]]","[[nan], [nan]]",3.7778931862957164e+21,nan,nan
86,"[[nan], [nan]]","[[nan], [nan]]",7.555786372591433e+21,nan,nan
87,"[[nan], [nan]]","[[nan], [nan]]",1.5111572745182866e+22,nan,nan
88,"[[nan], [nan]]","[[nan], [nan]]",3.022314549036573e+22,nan,nan
89,"[[nan], [nan]]","[[nan], [nan]]",6.044629098073146e+22,nan,nan
90,"[[nan], [nan]]","[[nan], [nan]]",1.2089258196146292e+23,nan,nan
91,"[[nan], [nan]]","[[nan], [nan]]",2.4178516392292585e+23,nan,nan
92,"[[nan], [nan]]","[[nan], [nan]]",4.835703278458517e+23,nan,nan
93,"[[nan], [nan]]","[[nan], [nan]]",9.671406556917034e+23,nan,nan
94,"[[nan], [nan]]","[[nan], [nan]]",1.9342813113834068e+24,nan,nan
95,"[[nan], [nan]]","[[nan], [nan]]",3.8685626227668136e+24,nan,nan
96,"[[nan], [nan]]","[[nan], [nan]]",7.737125245533627e+24,nan,nan
97,"[[nan], [nan]]","[[nan], [nan]]",1.5474250491067254e+25,nan,nan
98,"[[nan], [nan]]","[[nan], [nan]]",3.094850098213451e+25,nan,nan
99,"[[nan], [nan]]","[[nan], [nan]]",6.189700196426902e+25,nan,nan
100,"[[nan], [nan]]","[[nan], [nan]]",1.2379400392853803e+26,nan,nan
101,"[[nan], [nan]]","[[nan], [nan]]",2.4758800785707607e+26,nan,nan
102,"[[nan], [nan]]","[[nan], [nan]]",4.9517601571415214e+26,nan,nan
103,"[[nan], [nan]]","[[nan], [nan]]",9.903520314283043e+26,nan,nan
104,"[[nan], [nan]]","[[nan], [nan]]",1.9807040628566085e+27,nan,nan
105,"[[nan], [nan]]","[[nan], [nan]]",3.961408125713217e+27,nan,nan
106,"[[nan], [nan]]","[[nan], [nan]]",7.922816251426434e+27,nan,nan
107,"[[nan], [nan]]","[[nan], [nan]]",1.5845632502852868e+28,nan,nan
108,"[[nan], [nan]]","[[nan], [nan]]",3.1691265005705737e+28,nan,nan
109,"[[nan], [nan]]","[[nan], [nan]]",6.338253001141147e+28,nan,nan
110,"[[nan], [nan]]","[[nan], [nan]]",1.2676506002282295e+29,nan,nan
111,"[[nan], [nan]]","[[nan], [nan]]",2.535301200456459e+29,nan,nan
112,"[[nan], [nan]]","[[nan], [nan]]",5.070602400912918e+29,nan,nan
113,"[[nan], [nan]]","[[nan], [nan]]",1.0141204801825836e+30,nan,nan
114,"[[nan], [nan]]","[[nan], [nan]]",2.0282409603651672e+30,nan,nan
115,"[[nan], [nan]]","[[nan], [nan]]",4.0564819207303343e+30,nan,nan
116,"[[nan], [nan]]","[[nan], [nan]]",8.112963841460669e+30,nan,nan
117,"[[nan], [nan]]","[[nan], [nan]]",1.6225927682921337e+31,nan,nan
118,"[[nan], [nan]]","[[nan], [nan]]",3.2451855365842674e+31,nan,nan
119,"[[nan], [nan]]","[[nan], [nan]]",6.490371073168535e+31,nan,nan
120,"[[nan], [nan]]","[[nan], [nan]]",1.298074214633707e+32,nan,nan
121,"[[nan], [nan]]","[[nan], [nan]]",2.596148429267414e+32,nan,nan
122,"[[nan], [nan]]","[[nan], [nan]]",5.192296858534828e+32,nan,nan
123,"[[nan], [nan]]","[[nan], [nan]]",1.0384593717069656e+33,nan,nan
124,"[[nan], [nan]]","[[nan], [nan]]",2.0769187434139312e+33,nan,nan
125,"[[nan], [nan]]","[[nan], [nan]]",4.1538374868278623e+33,nan,nan
126,"[[nan], [nan]]","[[nan], [nan]]",8.307674973655725e+33,nan,nan
127,"[[nan], [nan]]","[[nan], [nan]]",1.661534994731145e+34,nan,nan
128,"[[nan], [nan]]","[[nan], [nan]]",3.32306998946229e+34,nan,nan
129,"[[nan], [nan]]","[[nan], [nan]]",6.64613997892458e+34,nan,nan
130,"[[nan], [nan]]","[[nan], [nan]]",1.329227995784916e+35,nan,nan
131,"[[nan], [nan]]","[[nan], [nan]]",2.658455991569832e+35,nan,nan
132,"[[nan], [nan]]","[[nan], [nan]]",5.316911983139664e+35,nan,nan
133,"[[nan], [nan]]","[[nan], [nan]]",1.0633823966279328e+36,nan,nan
134,"[[nan], [nan]]","[[nan], [nan]]",2.1267647932558655e+36,nan,nan
135,"[[nan], [nan]]","[[nan], [nan]]",4.253529586511731e+36,nan,nan
136,"[[nan], [nan]]","[[nan], [nan]]",8.507059173023462e+36,nan,nan
137,"[[nan], [nan]]","[[nan], [nan]]",1.7014118346046924e+37,nan,nan
138,"[[nan], [nan]]","[[nan], [nan]]",3.402823669209385e+37,nan,nan
139,"[[nan], [nan]]","[[nan], [nan]]",6.80564733841877e+37,nan,nan
140,"[[nan], [nan]]","[[nan], [nan]]",1.361129467683754e+38,nan,nan
141,"[[nan], [nan]]","[[nan], [nan]]",2.722258935367508e+38,nan,nan
142,"[[nan], [nan]]","[[nan], [nan]]",5.444517870735016e+38,nan,nan
143,"[[nan], [nan]]","[[nan], [nan]]",1.0889035741470031e+39,nan,nan
144,"[[nan], [nan]]","[[nan], [nan]]",2.1778071482940063e+39,nan,nan
145,"[[nan], [nan]]","[[nan], [nan]]",4.3556142965880126e+39,nan,nan
146,"[[nan], [nan]]","[[nan], [nan]]",8.711228593176025e+39,nan,nan
147,"[[nan], [nan]]","[[nan], [nan]]",1.742245718635205e+40,nan,nan
148,"[[nan], [nan]]","[[nan], [nan]]",3.48449143727041e+40,nan,nan
